entry,base_smiles,ligand_smiles,solvent_smiles,concentration,temp_c,electrophile_smiles,nucleophile_smiles,product_smiles,yield
0,O=C([O-])C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,5.47
1,O=C([O-])C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
2,O=C([O-])C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,78.95
3,O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,7.26
4,O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,28.15
5,O=C([O-])C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,65.37
6,O=C([O-])C(C)(C)C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.07
7,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
8,O=C([O-])C(C)(C)C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,28.64
9,O=C([O-])C(C)(C)C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,10.44
10,O=C([O-])C(C)(C)C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,63.13
11,O=C([O-])C(C)(C)C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,77.41
12,O=C([O-])C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,4.74
13,O=C([O-])C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
14,O=C([O-])C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,29.31
15,O=C([O-])C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,12.83
16,O=C([O-])C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,62.82
17,O=C([O-])C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,87.83
18,O=C([O-])C(C)(C)C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
19,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
20,O=C([O-])C(C)(C)C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,7.62
21,O=C([O-])C(C)(C)C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,8.85
22,O=C([O-])C(C)(C)C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,52.05
23,O=C([O-])C(C)(C)C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,29.16
24,O=C([O-])C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,18.44
25,O=C([O-])C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
26,O=C([O-])C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,6.17
27,O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
28,O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,6.24
29,O=C([O-])C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,47.3
30,O=C([O-])C(C)(C)C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,56.05
31,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
32,O=C([O-])C(C)(C)C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,6.39
33,O=C([O-])C(C)(C)C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.35
34,O=C([O-])C(C)(C)C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,4.28
35,O=C([O-])C(C)(C)C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,56.14
36,O=C([O-])C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,64.48
37,O=C([O-])C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
38,O=C([O-])C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,5.88
39,O=C([O-])C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.57
40,O=C([O-])C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,3.21
41,O=C([O-])C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,83.83
42,O=C([O-])C(C)(C)C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,55.41
43,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
44,O=C([O-])C(C)(C)C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,5.41
45,O=C([O-])C(C)(C)C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.33
46,O=C([O-])C(C)(C)C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,3.44
47,O=C([O-])C(C)(C)C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,68.53
48,O=C([O-])C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,17.09
