ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
A-caPhos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,4.68,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
BrettPhos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,1.83,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
CX-FBu,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,2.04,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
CX-PICy,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,25.64,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
Cy-DavePhos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,6.64,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
Cy-vBRIDP,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,7.92,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
Kwong,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,3.28,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
MeO-KITPHOS,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,4.34,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
P(o-Anis)3,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,7.51,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
Et-PhenCar-Phos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,12.19,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
