,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
0,BTMG,m2,p1,DMF,t20,,0.09856846443990004
1,BTMG,m2,p1,DMF,t40,,0.11570598144420005
2,BTMG,m2,p1,DMF,t60,,0.1910728253501999
3,BTMG,m2,p1,tAmOH,t20,,0.09799668928050004
4,BTMG,m2,p1,tAmOH,t40,,0.11498753201790005
5,BTMG,m2,p1,tAmOH,t60,,0.19063533047049994
6,BTMG,m2,p2,DMF,t20,0.06488691052,0.08786049756830008
7,BTMG,m2,p2,DMF,t40,,0.10270172580550009
8,BTMG,m2,p2,DMF,t60,,0.18280166060150005
9,BTMG,m2,p2,tAmOH,t20,,0.08558168875580006
10,BTMG,m2,p2,tAmOH,t40,,0.10268226761820007
11,BTMG,m2,p2,tAmOH,t60,,0.18241646271809997
12,BTMG,m2,p3,DMF,t20,,0.0763616559296
13,BTMG,m2,p3,DMF,t40,,0.08738562780360003
14,BTMG,m2,p3,DMF,t60,,0.1701821157188
15,BTMG,m2,p3,tAmOH,t20,,0.07538946586
16,BTMG,m2,p3,tAmOH,t40,0.04565834915,0.08521473384610001
17,BTMG,m2,p3,tAmOH,t60,,0.1673148998465
18,BTMG,m2,p4,DMF,t20,,0.11441505608040005
19,BTMG,m2,p4,DMF,t40,,0.14601073861249997
20,BTMG,m2,p4,DMF,t60,,0.20263788541319996
21,BTMG,m2,p4,tAmOH,t20,,0.11439152019400003
22,BTMG,m2,p4,tAmOH,t40,,0.14706645941219992
23,BTMG,m2,p4,tAmOH,t60,0.2471295664999999,0.2036770528123998
24,BTMG,m2,p6,DMF,t20,,0.3204830013905996
25,BTMG,m2,p6,DMF,t40,,0.3590321373375995
26,BTMG,m2,p6,DMF,t60,,0.4696801747001995
27,BTMG,m2,p6,tAmOH,t20,,0.3422743001369996
28,BTMG,m2,p6,tAmOH,t40,,0.3743194289745995
29,BTMG,m2,p6,tAmOH,t60,0.6057217869,0.5093583454742994
30,BTMG,m3,p1,DMF,t20,,0.07378957213330001
31,BTMG,m3,p1,DMF,t40,,0.0956563134238
32,BTMG,m3,p1,DMF,t60,,0.13212361903599995
33,BTMG,m3,p1,tAmOH,t20,,0.08059860697370003
34,BTMG,m3,p1,tAmOH,t40,,0.10289445242869995
35,BTMG,m3,p1,tAmOH,t60,,0.13551339625129993
36,BTMG,m3,p2,DMF,t20,,0.0716076524719
37,BTMG,m3,p2,DMF,t40,,0.09517339315270001
38,BTMG,m3,p2,DMF,t60,,0.13157907557530005
39,BTMG,m3,p2,tAmOH,t20,,0.07559854507090003
40,BTMG,m3,p2,tAmOH,t40,,0.10190002297850002
41,BTMG,m3,p2,tAmOH,t60,0.1024991599,0.1333704769175001
42,BTMG,m3,p3,DMF,t20,,0.06697398109960001
43,BTMG,m3,p3,DMF,t40,,0.08432457017170002
44,BTMG,m3,p3,DMF,t60,,0.12184850416749998
45,BTMG,m3,p3,tAmOH,t20,,0.07417856932140002
46,BTMG,m3,p3,tAmOH,t40,,0.09069830637390001
47,BTMG,m3,p3,tAmOH,t60,,0.12401568292069999
48,BTMG,m3,p4,DMF,t20,,0.0963589709527
49,BTMG,m3,p4,DMF,t40,,0.13370144995999989
50,BTMG,m3,p4,DMF,t60,,0.15744385114999995
51,BTMG,m3,p4,tAmOH,t20,,0.09935565393879997
52,BTMG,m3,p4,tAmOH,t40,0.1263726362,0.13662248826799986
53,BTMG,m3,p4,tAmOH,t60,,0.15402068129099997
54,BTMG,m3,p6,DMF,t20,,0.21293508704899977
55,BTMG,m3,p6,DMF,t40,,0.2771671220479996
56,BTMG,m3,p6,DMF,t60,0.3730828678999999,0.3577077322190998
57,BTMG,m3,p6,tAmOH,t20,,0.24021696090489986
58,BTMG,m3,p6,tAmOH,t40,,0.29469199083149966
59,BTMG,m3,p6,tAmOH,t60,0.4584386895,0.39764250462379985
60,BTMG,m4,p1,DMF,t20,,0.026375213946299998
61,BTMG,m4,p1,DMF,t40,,0.05342008114030003
62,BTMG,m4,p1,DMF,t60,,0.10011104707820002
63,BTMG,m4,p1,tAmOH,t20,,0.0236298674578
64,BTMG,m4,p1,tAmOH,t40,,0.05057972507760002
65,BTMG,m4,p1,tAmOH,t60,,0.09554567981310001
66,BTMG,m4,p2,DMF,t20,,0.029413361982599983
67,BTMG,m4,p2,DMF,t40,0.01366896024,0.045586112528100006
68,BTMG,m4,p2,DMF,t60,,0.10133019771540006
69,BTMG,m4,p2,tAmOH,t20,,0.02703652119309998
70,BTMG,m4,p2,tAmOH,t40,,0.048639265644800034
