,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
29,BTMG,m2,p6,tAmOH,t60,,0.22430110432649975
67,BTMG,m4,p2,DMF,t40,,0.07550892240730007
56,BTMG,m3,p6,DMF,t60,,0.3692402108464997
569,DBU,m5,p6,tAmOH,t60,,0.0831354034091
277,Cs2CO3,m6,p2,DMF,t40,,0.053144101915000005
748,K2CO3,m6,p6,tAmOH,t40,,0.08117080186309991
412,K3PO4,m5,p4,tAmOH,t40,,0.01948836537569998
114,BTMG,m5,p6,DMF,t20,,0.13673375563210013
415,K3PO4,m5,p6,DMF,t40,,0.06279896777089998
23,BTMG,m2,p4,tAmOH,t60,,0.08451920527680006
293,Cs2CO3,m6,p4,tAmOH,t60,,0.05532183966019997
52,BTMG,m3,p4,tAmOH,t40,,0.21195268343439988
698,K2CO3,m5,p2,DMF,t60,,0.03243836989619999
261,Cs2CO3,m5,p4,tAmOH,t20,,0.009830194655800002
560,DBU,m5,p4,DMF,t60,,0.020542455149399994
685,K2CO3,m4,p6,DMF,t40,,0.0962611142828
523,DBU,m4,p3,DMF,t40,,0.03047683434439999
729,K2CO3,m6,p2,tAmOH,t20,,0.030985791753499994
