,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
790,DIPEA,m3,p2,tAmOH,t40,-0.895282995,0.042749176
785,DIPEA,m3,p1,tAmOH,t60,-1.65730128,0.017095519
128,BTMG,m6,p2,DMF,t60,13.01084084,0.126297472
695,K2CO3,m5,p1,tAmOH,t60,-0.827448825,0.015120335
154,Cs2CO3,m2,p1,tAmOH,t40,13.21213982,0.041671988
113,BTMG,m5,p4,tAmOH,t60,10.75422108,0.114965938
115,BTMG,m5,p6,DMF,t40,18.32513637,0.095352737
163,Cs2CO3,m2,p3,DMF,t40,4.701629854,0.031703813
82,BTMG,m4,p4,tAmOH,t40,7.9186251,0.0992472
110,BTMG,m5,p4,DMF,t60,15.22590141,0.11163743
545,DBU,m5,p1,tAmOH,t60,1.383072518,0.042679326
397,K3PO4,m5,p2,DMF,t40,9.000347164,0.040615479
619,K2CO3,m2,p4,DMF,t40,5.023094376,0.059810674
574,DBU,m6,p1,tAmOH,t40,3.853347866,0.072366704
610,K2CO3,m2,p2,tAmOH,t40,2.338853175,0.070843946
425,K3PO4,m6,p1,tAmOH,t60,2.558173863,0.02905323
246,Cs2CO3,m5,p2,DMF,t20,9.925969572,0.03385356
578,DBU,m6,p2,DMF,t60,3.920914553,0.056816471
