,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
258,Cs2CO3,m5,p4,DMF,t20,5.551560102,0.007267339
342,K3PO4,m3,p3,DMF,t20,-1.168415,0.00426861
825,DIPEA,m4,p3,tAmOH,t20,-0.769868475,0.011677747
570,DBU,m6,p1,DMF,t20,-1.22757804,0.047302658
123,BTMG,m6,p1,tAmOH,t20,-1.384713015,0.093006574
357,K3PO4,m3,p6,tAmOH,t20,1.690520905,0.107335222
579,DBU,m6,p2,tAmOH,t20,-0.981329432,0.061513926
672,K2CO3,m4,p3,DMF,t20,-0.656829579,0.020984125
792,DIPEA,m3,p3,DMF,t20,-1.246246346,0.003372499
592,DBU,m6,p4,tAmOH,t40,9.698148275,0.060313346
238,Cs2CO3,m4,p6,tAmOH,t40,28.51472817,0.057506405
805,DIPEA,m3,p6,DMF,t40,-1.48223328,0.085207617
41,BTMG,m3,p2,tAmOH,t60,10.24991599,0.291007177
236,Cs2CO3,m4,p6,DMF,t60,3.827634618,0.070863802
434,K3PO4,m6,p3,DMF,t60,1.998711346,0.006561152
311,K3PO4,m2,p2,tAmOH,t60,8.866392228,0.054641507
629,K2CO3,m2,p6,tAmOH,t60,40.32554841,0.115517229
764,DIPEA,m2,p3,DMF,t60,3.612207323,0.008809454
