,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
149,BTMG,m6,p6,tAmOH,t60,,0.22166201227609983
19,BTMG,m2,p4,DMF,t40,,0.10109974876060004
44,BTMG,m3,p3,DMF,t60,,0.16288736001909992
599,DBU,m6,p6,tAmOH,t60,,0.11948138928260006
175,Cs2CO3,m2,p6,DMF,t40,,0.1154270598646
622,K2CO3,m2,p4,tAmOH,t40,,0.0454121982128
316,K3PO4,m2,p3,tAmOH,t40,,0.012769070431499996
48,BTMG,m3,p4,DMF,t20,,0.15730105181229986
445,K3PO4,m6,p6,DMF,t40,,0.091480409489
77,BTMG,m4,p3,tAmOH,t60,,0.1110778071075
185,Cs2CO3,m3,p1,tAmOH,t60,,0.014801699991299998
100,BTMG,m5,p2,tAmOH,t40,,0.05619956423930002
722,K2CO3,m6,p1,DMF,t60,,0.020733591959499996
213,Cs2CO3,m4,p1,tAmOH,t20,,0.032945363907899976
470,DBU,m2,p4,DMF,t60,,0.044343701969499986
745,K2CO3,m6,p6,DMF,t40,,0.09078677647599996
547,DBU,m5,p2,DMF,t40,,0.03415643878999997
723,K2CO3,m6,p1,tAmOH,t20,,0.026772797113099975
