,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a6,P2Et,XPhos,s2,0.08110761371000001
1,0.0,1.0,0.0,1.0,a14,P2Et,tBuXPhos,s7,0.09850315112000001
2,0.0,2.0,0.0,2.0,a3,P2Et,tBuBrettPhos,s1,0.012978185980000001
3,0.0,3.0,0.0,3.0,a19,P2Et,AdBrettPhos,s5,0.4920462645
4,0.0,4.0,0.0,4.0,a15,BTMG,XPhos,s13,0.1087603871
5,0.0,5.0,0.0,5.0,a17,BTMG,tBuXPhos,s13,0.0766652575
6,0.0,6.0,0.0,6.0,a5,BTMG,tBuBrettPhos,s8,0.3882629912
7,0.0,7.0,0.0,7.0,a15,BTMG,AdBrettPhos,s4,0.4126452613
8,0.0,8.0,0.0,8.0,a6,MTBD,XPhos,s11,0.46544616600000005
9,0.0,9.0,0.0,9.0,a11,MTBD,tBuXPhos,s3,0.23066914019999998
10,1.0,0.0,0.0,0.0,a14,P2Et,XPhos,s3,0.4271521565
11,1.0,1.0,0.0,1.0,a15,P2Et,tBuXPhos,s4,0.08389648420000001
12,1.0,2.0,0.0,2.0,a7,P2Et,tBuBrettPhos,s2,0.1965092582
13,1.0,3.0,0.0,3.0,a16,P2Et,AdBrettPhos,s14,0.4209636278
14,1.0,4.0,0.0,4.0,a5,BTMG,XPhos,s15,0.3275793304
15,1.0,5.0,0.0,5.0,a19,BTMG,tBuXPhos,s13,0.3630128303
16,1.0,6.0,0.0,6.0,a3,BTMG,tBuBrettPhos,s13,0.02234092607
17,1.0,7.0,0.0,7.0,a8,BTMG,AdBrettPhos,s7,0.0
18,1.0,8.0,0.0,8.0,a2,MTBD,XPhos,s12,0.5483360857
19,1.0,9.0,0.0,9.0,a12,MTBD,tBuXPhos,s13,0.4915752148
20,2.0,0.0,0.0,0.0,a10,P2Et,XPhos,s5,0.09070205476
21,2.0,1.0,0.0,1.0,a15,P2Et,tBuXPhos,s7,0.09771808987
22,2.0,2.0,0.0,2.0,a6,P2Et,tBuBrettPhos,s3,0.1251034862
23,2.0,3.0,0.0,3.0,a2,P2Et,AdBrettPhos,s10,0.161585109
24,2.0,4.0,0.0,4.0,a14,BTMG,XPhos,s10,0.2254874195
25,2.0,5.0,0.0,5.0,a2,BTMG,tBuXPhos,s6,0.4148980841
26,2.0,6.0,0.0,6.0,a17,BTMG,tBuBrettPhos,s1,0.0274121661
27,2.0,7.0,0.0,7.0,a3,BTMG,AdBrettPhos,s5,0.2171222946
28,2.0,8.0,0.0,8.0,a7,MTBD,XPhos,s1,0.1290070345
29,2.0,9.0,0.0,9.0,a14,MTBD,tBuXPhos,s9,0.6871737558
