,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.08110761371000001,0.08110761371000001
1,0.0,1.0,0.0,1.0,1.0,0.09850315112000001,0.17961076483000002
2,0.0,2.0,0.0,2.0,2.0,0.012978185980000001,0.19258895081000002
3,0.0,3.0,0.0,3.0,3.0,0.4920462645,0.68463521531
4,0.0,4.0,0.0,4.0,4.0,0.1087603871,0.7933956024100001
5,0.0,5.0,0.0,5.0,5.0,0.0766652575,0.87006085991
6,0.0,6.0,0.0,6.0,6.0,0.3882629912,1.2583238511100001
7,0.0,7.0,0.0,7.0,7.0,0.4126452613,1.6709691124100001
8,0.0,8.0,0.0,8.0,8.0,0.46544616600000005,2.1364152784100003
9,0.0,9.0,0.0,9.0,9.0,0.23066914019999998,2.36708441861
10,1.0,0.0,0.0,0.0,0.0,0.4271521565,0.4271521565
11,1.0,1.0,0.0,1.0,1.0,0.08389648420000001,0.5110486407
12,1.0,2.0,0.0,2.0,2.0,0.1965092582,0.7075578989
13,1.0,3.0,0.0,3.0,3.0,0.4209636278,1.1285215267
14,1.0,4.0,0.0,4.0,4.0,0.3275793304,1.4561008571
15,1.0,5.0,0.0,5.0,5.0,0.3630128303,1.8191136874
16,1.0,6.0,0.0,6.0,6.0,0.02234092607,1.84145461347
17,1.0,7.0,0.0,7.0,7.0,0.0,1.84145461347
18,1.0,8.0,0.0,8.0,8.0,0.5483360857,2.38979069917
19,1.0,9.0,0.0,9.0,9.0,0.4915752148,2.8813659139700003
20,2.0,0.0,0.0,0.0,0.0,0.09070205476,0.09070205476
21,2.0,1.0,0.0,1.0,1.0,0.09771808987,0.18842014463
22,2.0,2.0,0.0,2.0,2.0,0.1251034862,0.31352363083
23,2.0,3.0,0.0,3.0,3.0,0.161585109,0.47510873983
24,2.0,4.0,0.0,4.0,4.0,0.2254874195,0.7005961593300001
25,2.0,5.0,0.0,5.0,5.0,0.4148980841,1.1154942434300001
26,2.0,6.0,0.0,6.0,6.0,0.0274121661,1.1429064095300001
27,2.0,7.0,0.0,7.0,7.0,0.2171222946,1.36002870413
28,2.0,8.0,0.0,8.0,8.0,0.1290070345,1.4890357386300002
29,2.0,9.0,0.0,9.0,9.0,0.6871737558,2.17620949443
