,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,8.0,0.1696531636,0.1696531636
1,0.0,1.0,0.0,1.0,3.0,0.01779970363,0.18745286723
2,0.0,2.0,0.0,2.0,10.0,0.3698776703,0.55733053753
3,0.0,3.0,0.0,3.0,6.0,0.01993041801,0.5772609555399999
4,0.0,4.0,0.0,4.0,5.0,0.3539709887,0.9312319442399999
5,0.0,5.0,0.0,5.0,10.0,0.45522443209999996,1.38645637634
6,0.0,6.0,0.0,6.0,7.0,0.0,1.38645637634
7,0.0,7.0,0.0,7.0,4.0,0.251224442,1.63768081834
8,0.0,8.0,0.0,8.0,10.0,0.007883557690000001,1.64556437603
9,0.0,9.0,0.0,9.0,9.0,0.8368183531,2.4823827291300002
10,1.0,0.0,0.0,0.0,7.0,0.268260429,0.268260429
11,1.0,1.0,0.0,1.0,3.0,0.0,0.268260429
12,1.0,2.0,0.0,2.0,6.0,0.4832439551,0.7515043841
13,1.0,3.0,0.0,3.0,6.0,0.0070155222799999995,0.75851990638
14,1.0,4.0,0.0,4.0,7.0,0.0,0.75851990638
15,1.0,5.0,0.0,5.0,6.0,0.6806627781,1.43918268448
16,1.0,6.0,0.0,6.0,5.0,0.6593366748,2.09851935928
17,1.0,7.0,0.0,7.0,5.0,0.6371103229,2.73562968218
18,1.0,8.0,0.0,8.0,5.0,0.5771086680999999,3.31273835028
19,1.0,9.0,0.0,9.0,8.0,0.03462173057,3.34736008085
20,2.0,0.0,0.0,0.0,5.0,0.6065973957,0.6065973957
21,2.0,1.0,0.0,1.0,10.0,0.8010225068,1.4076199025
22,2.0,2.0,0.0,2.0,2.0,0.3820230031,1.7896429056
23,2.0,3.0,0.0,3.0,7.0,0.6480074025,2.4376503081000003
24,2.0,4.0,0.0,4.0,10.0,0.0718319285,2.5094822366000002
25,2.0,5.0,0.0,5.0,7.0,0.5312382568999999,3.0407204935000003
26,2.0,6.0,0.0,6.0,0.0,0.19999826269999998,3.2407187562
27,2.0,7.0,0.0,7.0,5.0,0.5719204969,3.8126392531000004
28,2.0,8.0,0.0,8.0,7.0,0.5657387493,4.378378002400001
29,2.0,9.0,0.0,9.0,5.0,0.0,4.378378002400001
