,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a19,P2Et,tBuXPhos,s14,0.6874074216
1,0.0,1.0,0.0,1.0,a18,P2Et,tBuXPhos,s1,0.1016290719
2,0.0,2.0,0.0,2.0,a13,P2Et,tBuXPhos,s6,0.4031193463
3,0.0,3.0,0.0,3.0,a1,P2Et,tBuXPhos,s6,0.495332891
4,0.0,4.0,0.0,4.0,a14,P2Et,tBuXPhos,s3,0.3841251828
5,0.0,5.0,0.0,5.0,a15,P2Et,tBuXPhos,s15,0.7679526891
6,0.0,6.0,0.0,6.0,a8,P2Et,tBuXPhos,s3,0.1181277895
7,0.0,7.0,0.0,7.0,a15,P2Et,tBuXPhos,s5,0.6592742303999999
8,0.0,8.0,0.0,8.0,a18,P2Et,tBuXPhos,s15,0.206070389
9,0.0,9.0,0.0,9.0,a3,P2Et,tBuXPhos,s3,0.45080480430000003
10,1.0,0.0,0.0,0.0,a1,MTBD,tBuBrettPhos,s3,0.4745149232
11,1.0,1.0,0.0,1.0,a6,MTBD,XPhos,s6,0.00878081853
12,1.0,2.0,0.0,2.0,a5,MTBD,tBuBrettPhos,s1,0.0468080841
13,1.0,3.0,0.0,3.0,a8,MTBD,tBuXPhos,s3,0.4403901684
14,1.0,4.0,0.0,4.0,a6,MTBD,tBuXPhos,s14,0.4674806516
15,1.0,5.0,0.0,5.0,a18,MTBD,tBuXPhos,s15,0.8067857488999999
16,1.0,6.0,0.0,6.0,a9,MTBD,tBuXPhos,s6,0.5662080434
17,1.0,7.0,0.0,7.0,a12,MTBD,tBuBrettPhos,s9,0.6913479768999999
18,1.0,8.0,0.0,8.0,a7,MTBD,tBuXPhos,s15,0.8440416295
19,1.0,9.0,0.0,9.0,a20,MTBD,tBuXPhos,s13,0.07182520972
20,2.0,0.0,0.0,0.0,a1,P2Et,tBuXPhos,s13,0.6016915393
21,2.0,1.0,0.0,1.0,a9,MTBD,tBuXPhos,s15,0.8331333267
22,2.0,2.0,0.0,2.0,a3,P2Et,tBuXPhos,s11,0.6607082051000001
23,2.0,3.0,0.0,3.0,a11,MTBD,tBuXPhos,s6,0.1940320705
24,2.0,4.0,0.0,4.0,a12,P2Et,tBuXPhos,s10,0.5394447324
25,2.0,5.0,0.0,5.0,a3,MTBD,tBuXPhos,s4,0.0
26,2.0,6.0,0.0,6.0,a8,P2Et,tBuXPhos,s10,0.1818990312
27,2.0,7.0,0.0,7.0,a12,P2Et,tBuXPhos,s1,0.20059134920000002
28,2.0,8.0,0.0,8.0,a13,MTBD,XPhos,s9,0.5328001638
29,2.0,9.0,0.0,9.0,a19,MTBD,XPhos,s1,0.1939344332
