,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a14,MTBD,XPhos,s12,0.6269909879
1,0.0,1.0,0.0,1.0,a6,MTBD,AdBrettPhos,s3,0.3956647024
2,0.0,2.0,0.0,2.0,a18,P2Et,AdBrettPhos,s11,0.3712306374
3,0.0,3.0,0.0,3.0,a17,P2Et,tBuBrettPhos,s15,0.1990695412
4,0.0,4.0,0.0,4.0,a16,MTBD,tBuBrettPhos,s13,0.024052540530000003
5,0.0,5.0,0.0,5.0,a12,MTBD,XPhos,s4,0.0
6,0.0,6.0,0.0,6.0,a6,BTMG,tBuXPhos,s1,0.0033050129299999997
7,0.0,7.0,0.0,7.0,a7,BTMG,AdBrettPhos,s13,0.1331813914
8,0.0,8.0,0.0,8.0,a17,P2Et,XPhos,s1,0.139614152
9,0.0,9.0,0.0,9.0,a14,P2Et,XPhos,s2,0.16252387980000002
10,1.0,0.0,0.0,0.0,a15,MTBD,XPhos,s5,0.4582883908
11,1.0,1.0,0.0,1.0,a1,BTMG,XPhos,s8,0.34705646889999997
12,1.0,2.0,0.0,2.0,a2,BTMG,tBuBrettPhos,s12,0.8336436834
13,1.0,3.0,0.0,3.0,a17,P2Et,tBuXPhos,s2,0.1679477369
14,1.0,4.0,0.0,4.0,a8,BTMG,tBuXPhos,s4,0.0
15,1.0,5.0,0.0,5.0,a1,BTMG,tBuBrettPhos,s11,0.8198080261
16,1.0,6.0,0.0,6.0,a5,P2Et,AdBrettPhos,s3,0.03446957245
17,1.0,7.0,0.0,7.0,a13,P2Et,tBuBrettPhos,s1,0.07147036958
18,1.0,8.0,0.0,8.0,a8,BTMG,AdBrettPhos,s4,0.0
19,1.0,9.0,0.0,9.0,a8,MTBD,AdBrettPhos,s6,0.390058585
20,2.0,0.0,0.0,0.0,a15,BTMG,AdBrettPhos,s11,0.41429755399999996
21,2.0,1.0,0.0,1.0,a16,BTMG,AdBrettPhos,s10,0.268260429
22,2.0,2.0,0.0,2.0,a6,P2Et,tBuXPhos,s3,0.1049048013
23,2.0,3.0,0.0,3.0,a19,BTMG,XPhos,s13,0.1263535619
24,2.0,4.0,0.0,4.0,a10,BTMG,tBuBrettPhos,s14,0.1539357697
25,2.0,5.0,0.0,5.0,a1,P2Et,AdBrettPhos,s4,0.008435826479999999
26,2.0,6.0,0.0,6.0,a20,BTMG,AdBrettPhos,s2,0.2874221631
27,2.0,7.0,0.0,7.0,a16,P2Et,XPhos,s12,0.2979340439
28,2.0,8.0,0.0,8.0,a5,MTBD,XPhos,s12,0.5500354925
29,2.0,9.0,0.0,9.0,a7,P2Et,tBuXPhos,s1,0.2118588073
