,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a6,P2Et,XPhos,s7,0.00689951869
1,0.0,1.0,0.0,1.0,a12,P2Et,tBuXPhos,s5,0.2735092133
2,0.0,2.0,0.0,2.0,a14,P2Et,tBuBrettPhos,s2,0.2460563466
3,0.0,3.0,0.0,3.0,a8,P2Et,AdBrettPhos,s3,0.05419599738
4,0.0,4.0,0.0,4.0,a10,BTMG,XPhos,s10,0.10001949339999999
5,0.0,5.0,0.0,5.0,a17,BTMG,tBuXPhos,s12,0.5918255708
6,0.0,6.0,0.0,6.0,a19,BTMG,tBuBrettPhos,s8,0.5910146589
7,0.0,7.0,0.0,7.0,a6,BTMG,AdBrettPhos,s9,0.1633859929
8,0.0,8.0,0.0,8.0,a11,MTBD,XPhos,s13,0.04333466821
9,0.0,9.0,0.0,9.0,a16,MTBD,tBuXPhos,s9,0.6542133393
10,1.0,0.0,0.0,0.0,a11,P2Et,XPhos,s10,0.0
11,1.0,1.0,0.0,1.0,a12,P2Et,tBuXPhos,s15,0.6573471929
12,1.0,2.0,0.0,2.0,a11,P2Et,tBuBrettPhos,s14,0.06360003901000001
13,1.0,3.0,0.0,3.0,a12,P2Et,AdBrettPhos,s11,0.2599050807
14,1.0,4.0,0.0,4.0,a9,BTMG,XPhos,s7,0.0286790041
15,1.0,5.0,0.0,5.0,a6,BTMG,tBuXPhos,s4,0.0
16,1.0,6.0,0.0,6.0,a3,BTMG,tBuBrettPhos,s8,0.5004747607
17,1.0,7.0,0.0,7.0,a10,BTMG,AdBrettPhos,s2,0.03835722246
18,1.0,8.0,0.0,8.0,a18,MTBD,XPhos,s7,0.0
19,1.0,9.0,0.0,9.0,a7,MTBD,tBuXPhos,s7,0.05620589612000001
20,2.0,0.0,0.0,0.0,a7,P2Et,XPhos,s11,0.235354934
21,2.0,1.0,0.0,1.0,a15,P2Et,tBuXPhos,s2,0.3656526068
22,2.0,2.0,0.0,2.0,a3,P2Et,tBuBrettPhos,s7,0.00910655456
23,2.0,3.0,0.0,3.0,a6,P2Et,AdBrettPhos,s6,0.110075153
24,2.0,4.0,0.0,4.0,a18,BTMG,XPhos,s6,0.01624624313
25,2.0,5.0,0.0,5.0,a14,BTMG,tBuXPhos,s6,0.3394655387
26,2.0,6.0,0.0,6.0,a4,BTMG,tBuBrettPhos,s13,0.21948341419999998
27,2.0,7.0,0.0,7.0,a8,BTMG,AdBrettPhos,s1,0.0043228278799999995
28,2.0,8.0,0.0,8.0,a10,MTBD,XPhos,s14,0.18766585249999998
29,2.0,9.0,0.0,9.0,a3,MTBD,tBuXPhos,s14,0.9257247895999999
