,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.00689951869,0.00689951869
1,0.0,1.0,0.0,1.0,1.0,0.2735092133,0.28040873199
2,0.0,2.0,0.0,2.0,2.0,0.2460563466,0.52646507859
3,0.0,3.0,0.0,3.0,3.0,0.05419599738,0.58066107597
4,0.0,4.0,0.0,4.0,4.0,0.10001949339999999,0.68068056937
5,0.0,5.0,0.0,5.0,5.0,0.5918255708,1.27250614017
6,0.0,6.0,0.0,6.0,6.0,0.5910146589,1.86352079907
7,0.0,7.0,0.0,7.0,7.0,0.1633859929,2.02690679197
8,0.0,8.0,0.0,8.0,8.0,0.04333466821,2.07024146018
9,0.0,9.0,0.0,9.0,9.0,0.6542133393,2.72445479948
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,1.0,0.0,1.0,1.0,0.6573471929,0.6573471929
12,1.0,2.0,0.0,2.0,2.0,0.06360003901000001,0.72094723191
13,1.0,3.0,0.0,3.0,3.0,0.2599050807,0.9808523126099999
14,1.0,4.0,0.0,4.0,4.0,0.0286790041,1.00953131671
15,1.0,5.0,0.0,5.0,5.0,0.0,1.00953131671
16,1.0,6.0,0.0,6.0,6.0,0.5004747607,1.51000607741
17,1.0,7.0,0.0,7.0,7.0,0.03835722246,1.5483632998699999
18,1.0,8.0,0.0,8.0,8.0,0.0,1.5483632998699999
19,1.0,9.0,0.0,9.0,9.0,0.05620589612000001,1.60456919599
20,2.0,0.0,0.0,0.0,0.0,0.235354934,0.235354934
21,2.0,1.0,0.0,1.0,1.0,0.3656526068,0.6010075408
22,2.0,2.0,0.0,2.0,2.0,0.00910655456,0.6101140953599999
23,2.0,3.0,0.0,3.0,3.0,0.110075153,0.72018924836
24,2.0,4.0,0.0,4.0,4.0,0.01624624313,0.73643549149
25,2.0,5.0,0.0,5.0,5.0,0.3394655387,1.07590103019
26,2.0,6.0,0.0,6.0,6.0,0.21948341419999998,1.29538444439
27,2.0,7.0,0.0,7.0,7.0,0.0043228278799999995,1.29970727227
28,2.0,8.0,0.0,8.0,8.0,0.18766585249999998,1.48737312477
29,2.0,9.0,0.0,9.0,9.0,0.9257247895999999,2.4130979143699998
