,num_sims,round,experiment,horizon,base_name,fluoride_name,substrate_name,yield
0,0.0,0.0,0.0,0.0,DBU,3-Cl,s18,0.18
1,0.0,1.0,0.0,1.0,DBU,PyFluor,s34,0.46
2,0.0,2.0,0.0,2.0,DBU,3-CF3,s36,0.52
3,0.0,3.0,0.0,3.0,DBU,3-NO2,s20,0.46
4,0.0,4.0,0.0,4.0,DBU,PBSF,s9,0.83
5,0.0,5.0,0.0,5.0,MTBD,3-Cl,s2,0.54
6,0.0,6.0,0.0,6.0,MTBD,PyFluor,s9,0.02
7,0.0,7.0,0.0,7.0,MTBD,3-CF3,s33,0.79
8,0.0,8.0,0.0,8.0,MTBD,3-NO2,s3,0.05
9,0.0,9.0,0.0,9.0,MTBD,PBSF,s26,0.77
10,0.0,10.0,0.0,10.0,BTMG,3-Cl,s2,0.41
11,0.0,11.0,0.0,11.0,BTMG,PyFluor,s37,0.59
12,0.0,12.0,0.0,12.0,BTMG,3-CF3,s19,0.44
13,0.0,13.0,0.0,13.0,BTMG,3-NO2,s33,0.79
14,0.0,14.0,0.0,14.0,BTMG,PBSF,s24,0.13
15,0.0,15.0,0.0,15.0,BTPP,3-Cl,s17,0.92
16,0.0,16.0,0.0,16.0,BTPP,PyFluor,s24,0.09
17,0.0,17.0,0.0,17.0,BTPP,3-CF3,s29,0.49
18,0.0,18.0,0.0,18.0,BTPP,3-NO2,s21,0.42
19,0.0,19.0,0.0,19.0,BTPP,PBSF,s14,0.45
20,0.0,20.0,0.0,20.0,BTPP,3-Cl,s37,0.78
21,0.0,21.0,0.0,21.0,DBU,PBSF,s1,0.52
22,0.0,22.0,0.0,22.0,MTBD,3-CF3,s17,0.36
23,0.0,23.0,0.0,23.0,BTMG,3-NO2,s12,0.0
24,0.0,24.0,0.0,24.0,MTBD,PBSF,s37,0.84
25,0.0,25.0,0.0,25.0,BTPP,3-Cl,s28,0.0
26,0.0,26.0,0.0,26.0,MTBD,PBSF,s25,0.09
27,0.0,27.0,0.0,27.0,BTMG,PyFluor,s28,0.0
28,0.0,28.0,0.0,28.0,MTBD,3-Cl,s4,0.88
29,0.0,29.0,0.0,29.0,MTBD,3-Cl,s6,0.17
30,0.0,30.0,0.0,30.0,DBU,PBSF,s31,0.03
31,0.0,31.0,0.0,31.0,DBU,3-CF3,s20,0.43
32,0.0,32.0,0.0,32.0,BTPP,3-CF3,s14,0.09
33,0.0,33.0,0.0,33.0,DBU,PyFluor,s15,0.06
34,0.0,34.0,0.0,34.0,DBU,3-NO2,s23,0.11
35,0.0,35.0,0.0,35.0,BTPP,PBSF,s28,0.07
36,0.0,36.0,0.0,36.0,BTMG,3-CF3,s12,0.0
37,0.0,37.0,0.0,37.0,MTBD,3-CF3,s4,0.98
38,0.0,38.0,0.0,38.0,MTBD,3-CF3,s23,0.23
39,0.0,39.0,0.0,39.0,BTPP,3-NO2,s15,0.05
40,0.0,40.0,0.0,40.0,BTMG,3-Cl,s6,0.21
41,0.0,41.0,0.0,41.0,MTBD,PBSF,s19,0.39
42,0.0,42.0,0.0,42.0,BTPP,3-Cl,s15,0.02
43,0.0,43.0,0.0,43.0,MTBD,3-CF3,s12,0.0
44,0.0,44.0,0.0,44.0,DBU,3-CF3,s9,0.03
45,0.0,45.0,0.0,45.0,MTBD,3-Cl,s13,0.02
46,0.0,46.0,0.0,46.0,MTBD,PBSF,s31,0.09
47,0.0,47.0,0.0,47.0,DBU,PBSF,s2,0.39
48,0.0,48.0,0.0,48.0,BTMG,3-NO2,s4,1.0
49,0.0,49.0,0.0,49.0,BTMG,3-NO2,s9,0.12
50,0.0,50.0,0.0,50.0,BTMG,3-NO2,s23,0.28
51,0.0,51.0,0.0,51.0,MTBD,3-CF3,s27,0.37
52,0.0,52.0,0.0,52.0,DBU,PBSF,s4,0.6
53,0.0,53.0,0.0,53.0,DBU,PBSF,s32,0.33
54,0.0,54.0,0.0,54.0,BTPP,3-Cl,s10,0.46
55,0.0,55.0,0.0,55.0,DBU,3-Cl,s7,0.43
56,0.0,56.0,0.0,56.0,BTMG,3-Cl,s5,0.49
57,0.0,57.0,0.0,57.0,BTMG,3-NO2,s27,0.49
58,0.0,58.0,0.0,58.0,BTPP,3-Cl,s19,0.47
59,0.0,59.0,0.0,59.0,MTBD,PBSF,s10,0.88
60,0.0,60.0,0.0,60.0,MTBD,PBSF,s23,0.25
61,0.0,61.0,0.0,61.0,MTBD,PBSF,s8,0.23
62,0.0,62.0,0.0,62.0,MTBD,3-CF3,s22,0.6
63,0.0,63.0,0.0,63.0,MTBD,3-CF3,s19,0.38
64,0.0,64.0,0.0,64.0,BTMG,3-Cl,s30,0.41
65,0.0,65.0,0.0,65.0,DBU,3-Cl,s23,0.06
66,0.0,66.0,0.0,66.0,DBU,PBSF,s6,0.29
67,0.0,67.0,0.0,67.0,MTBD,3-Cl,s11,0.3
68,0.0,68.0,0.0,68.0,BTMG,3-NO2,s15,0.06
69,0.0,69.0,0.0,69.0,BTMG,PyFluor,s4,0.91
70,0.0,70.0,0.0,70.0,BTMG,PyFluor,s34,0.33
71,0.0,71.0,0.0,71.0,BTMG,PyFluor,s18,0.74
72,0.0,72.0,0.0,72.0,BTMG,PyFluor,s29,0.8
73,0.0,73.0,0.0,73.0,BTMG,PyFluor,s36,0.23
74,0.0,74.0,0.0,74.0,BTMG,PyFluor,s22,0.36
75,0.0,75.0,0.0,75.0,BTMG,PyFluor,s35,0.8
76,0.0,76.0,0.0,76.0,BTMG,PyFluor,s8,0.17
77,0.0,77.0,0.0,77.0,BTMG,PyFluor,s14,0.02
78,0.0,78.0,0.0,78.0,BTPP,3-Cl,s35,0.94
79,0.0,79.0,0.0,79.0,BTPP,3-Cl,s4,0.94
80,0.0,80.0,0.0,80.0,BTPP,3-Cl,s27,0.23
81,0.0,81.0,0.0,81.0,BTPP,3-Cl,s24,0.28
82,0.0,82.0,0.0,82.0,BTPP,3-Cl,s36,0.41
83,0.0,83.0,0.0,83.0,BTPP,3-Cl,s20,0.66
84,0.0,84.0,0.0,84.0,BTPP,3-Cl,s22,0.18
85,0.0,85.0,0.0,85.0,BTPP,3-CF3,s36,0.57
86,0.0,86.0,0.0,86.0,BTPP,3-CF3,s35,0.93
87,0.0,87.0,0.0,87.0,BTPP,3-CF3,s20,0.65
88,0.0,88.0,0.0,88.0,BTPP,3-CF3,s2,0.6
89,0.0,89.0,0.0,89.0,BTPP,3-CF3,s26,0.82
90,0.0,90.0,0.0,90.0,BTPP,3-CF3,s6,0.45
91,0.0,91.0,0.0,91.0,BTPP,3-CF3,s5,0.78
92,0.0,92.0,0.0,92.0,BTPP,3-CF3,s34,0.19
93,0.0,93.0,0.0,93.0,BTPP,3-CF3,s24,0.36
94,0.0,94.0,0.0,94.0,BTPP,3-CF3,s22,0.55
95,0.0,95.0,0.0,95.0,BTPP,3-CF3,s37,0.78
96,0.0,96.0,0.0,96.0,BTPP,3-CF3,s10,0.58
97,0.0,97.0,0.0,97.0,BTPP,3-CF3,s23,0.52
98,0.0,98.0,0.0,98.0,BTPP,3-CF3,s27,0.28
99,0.0,99.0,0.0,99.0,BTPP,3-CF3,s12,0.0
100,1.0,0.0,0.0,0.0,DBU,3-Cl,s2,0.4
101,1.0,1.0,0.0,1.0,DBU,PyFluor,s11,0.45
102,1.0,2.0,0.0,2.0,DBU,3-CF3,s36,0.52
103,1.0,3.0,0.0,3.0,DBU,3-NO2,s19,0.37
