,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.18,0.18
1,0.0,1.0,0.0,1.0,1.0,0.46,0.64
2,0.0,2.0,0.0,2.0,2.0,0.52,1.1600000000000001
3,0.0,3.0,0.0,3.0,3.0,0.46,1.62
4,0.0,4.0,0.0,4.0,4.0,0.83,2.45
5,0.0,5.0,0.0,5.0,5.0,0.54,2.99
6,0.0,6.0,0.0,6.0,6.0,0.02,3.0100000000000002
7,0.0,7.0,0.0,7.0,7.0,0.79,3.8000000000000003
8,0.0,8.0,0.0,8.0,8.0,0.05,3.85
9,0.0,9.0,0.0,9.0,9.0,0.77,4.62
10,0.0,10.0,0.0,10.0,10.0,0.41,5.03
11,0.0,11.0,0.0,11.0,11.0,0.59,5.62
12,0.0,12.0,0.0,12.0,12.0,0.44,6.0600000000000005
13,0.0,13.0,0.0,13.0,13.0,0.79,6.8500000000000005
14,0.0,14.0,0.0,14.0,14.0,0.13,6.98
15,0.0,15.0,0.0,15.0,15.0,0.92,7.9
16,0.0,16.0,0.0,16.0,16.0,0.09,7.99
17,0.0,17.0,0.0,17.0,17.0,0.49,8.48
18,0.0,18.0,0.0,18.0,18.0,0.42,8.9
19,0.0,19.0,0.0,19.0,19.0,0.45,9.35
20,0.0,20.0,0.0,20.0,15.0,0.78,10.129999999999999
21,0.0,21.0,0.0,21.0,4.0,0.52,10.649999999999999
22,0.0,22.0,0.0,22.0,7.0,0.36,11.009999999999998
23,0.0,23.0,0.0,23.0,13.0,0.0,11.009999999999998
24,0.0,24.0,0.0,24.0,9.0,0.84,11.849999999999998
25,0.0,25.0,0.0,25.0,15.0,0.0,11.849999999999998
26,0.0,26.0,0.0,26.0,9.0,0.09,11.939999999999998
27,0.0,27.0,0.0,27.0,11.0,0.0,11.939999999999998
28,0.0,28.0,0.0,28.0,5.0,0.88,12.819999999999999
29,0.0,29.0,0.0,29.0,5.0,0.17,12.989999999999998
30,0.0,30.0,0.0,30.0,4.0,0.03,13.019999999999998
31,0.0,31.0,0.0,31.0,2.0,0.43,13.449999999999998
32,0.0,32.0,0.0,32.0,17.0,0.09,13.539999999999997
33,0.0,33.0,0.0,33.0,1.0,0.06,13.599999999999998
34,0.0,34.0,0.0,34.0,3.0,0.11,13.709999999999997
35,0.0,35.0,0.0,35.0,19.0,0.07,13.779999999999998
36,0.0,36.0,0.0,36.0,12.0,0.0,13.779999999999998
37,0.0,37.0,0.0,37.0,7.0,0.98,14.759999999999998
38,0.0,38.0,0.0,38.0,7.0,0.23,14.989999999999998
39,0.0,39.0,0.0,39.0,18.0,0.05,15.04
40,0.0,40.0,0.0,40.0,10.0,0.21,15.25
41,0.0,41.0,0.0,41.0,9.0,0.39,15.64
42,0.0,42.0,0.0,42.0,15.0,0.02,15.66
43,0.0,43.0,0.0,43.0,7.0,0.0,15.66
44,0.0,44.0,0.0,44.0,2.0,0.03,15.69
45,0.0,45.0,0.0,45.0,5.0,0.02,15.709999999999999
46,0.0,46.0,0.0,46.0,9.0,0.09,15.799999999999999
47,0.0,47.0,0.0,47.0,4.0,0.39,16.189999999999998
48,0.0,48.0,0.0,48.0,13.0,1.0,17.189999999999998
49,0.0,49.0,0.0,49.0,13.0,0.12,17.31
50,0.0,50.0,0.0,50.0,13.0,0.28,17.59
