,num_sims,round,experiment,horizon,base_name,fluoride_name,substrate_name,yield
0,0.0,0.0,0.0,0.0,DBU,3-NO2,s34,0.44
1,0.0,1.0,0.0,1.0,DBU,PBSF,s36,0.82
2,0.0,2.0,0.0,2.0,BTMG,PBSF,s3,0.17
3,0.0,3.0,0.0,3.0,MTBD,3-NO2,s36,0.76
4,0.0,4.0,0.0,4.0,BTPP,3-CF3,s18,0.97
5,0.0,5.0,0.0,5.0,BTPP,3-CF3,s9,0.12
6,0.0,6.0,0.0,6.0,BTMG,PyFluor,s14,0.02
7,0.0,7.0,0.0,7.0,MTBD,3-CF3,s8,0.22
8,0.0,8.0,0.0,8.0,DBU,3-Cl,s25,0.0
9,0.0,9.0,0.0,9.0,BTMG,3-CF3,s4,1.0
10,0.0,10.0,0.0,10.0,MTBD,3-CF3,s9,0.04
11,0.0,11.0,0.0,11.0,BTPP,PBSF,s34,0.64
12,0.0,12.0,0.0,12.0,BTPP,PBSF,s30,0.43
13,0.0,13.0,0.0,13.0,DBU,3-Cl,s27,0.25
14,0.0,14.0,0.0,14.0,BTMG,3-CF3,s34,0.27
15,0.0,15.0,0.0,15.0,BTMG,3-CF3,s15,0.06
16,0.0,16.0,0.0,16.0,DBU,PBSF,s37,0.57
17,0.0,17.0,0.0,17.0,BTMG,PBSF,s10,0.79
18,0.0,18.0,0.0,18.0,DBU,3-NO2,s31,0.03
19,0.0,19.0,0.0,19.0,BTMG,PBSF,s2,0.61
20,0.0,20.0,0.0,20.0,DBU,3-CF3,s37,0.45
21,0.0,21.0,0.0,21.0,BTMG,PBSF,s37,0.84
22,0.0,22.0,0.0,22.0,BTPP,PBSF,s22,0.82
23,0.0,23.0,0.0,23.0,BTPP,3-NO2,s29,0.44
24,0.0,24.0,0.0,24.0,DBU,PBSF,s4,0.6
25,0.0,25.0,0.0,25.0,DBU,3-Cl,s36,0.31
26,0.0,26.0,0.0,26.0,DBU,3-CF3,s24,0.23
27,0.0,27.0,0.0,27.0,BTMG,3-Cl,s27,0.38
28,0.0,28.0,0.0,28.0,DBU,PBSF,s11,0.59
29,0.0,29.0,0.0,29.0,MTBD,3-NO2,s16,0.41
30,0.0,30.0,0.0,30.0,BTMG,3-CF3,s22,0.41
31,0.0,31.0,0.0,31.0,DBU,3-Cl,s30,0.32
32,0.0,32.0,0.0,32.0,DBU,PyFluor,s30,0.49
33,0.0,33.0,0.0,33.0,BTPP,3-CF3,s32,0.36
34,0.0,34.0,0.0,34.0,BTPP,PBSF,s13,1.0
35,0.0,35.0,0.0,35.0,BTMG,PBSF,s35,0.81
36,0.0,36.0,0.0,36.0,MTBD,3-NO2,s6,0.36
37,0.0,37.0,0.0,37.0,BTMG,3-NO2,s20,0.59
38,0.0,38.0,0.0,38.0,MTBD,3-NO2,s7,0.77
39,0.0,39.0,0.0,39.0,MTBD,PBSF,s27,0.79
40,0.0,40.0,0.0,40.0,BTPP,PyFluor,s27,0.28
41,0.0,41.0,0.0,41.0,BTPP,PyFluor,s5,0.67
42,0.0,42.0,0.0,42.0,BTMG,3-NO2,s23,0.28
43,0.0,43.0,0.0,43.0,MTBD,3-Cl,s3,0.01
44,0.0,44.0,0.0,44.0,DBU,3-NO2,s12,0.0
45,0.0,45.0,0.0,45.0,BTMG,3-NO2,s34,0.3
46,0.0,46.0,0.0,46.0,DBU,3-CF3,s32,0.32
47,0.0,47.0,0.0,47.0,DBU,3-NO2,s14,0.12
48,0.0,48.0,0.0,48.0,MTBD,PyFluor,s5,0.68
49,0.0,49.0,0.0,49.0,MTBD,3-NO2,s24,0.27
50,0.0,50.0,0.0,50.0,MTBD,3-Cl,s16,0.18
51,0.0,51.0,0.0,51.0,BTPP,3-CF3,s5,0.78
52,0.0,52.0,0.0,52.0,MTBD,PyFluor,s20,0.41
53,0.0,53.0,0.0,53.0,MTBD,PBSF,s1,0.8
54,0.0,54.0,0.0,54.0,BTMG,3-NO2,s1,0.87
55,0.0,55.0,0.0,55.0,BTMG,3-NO2,s21,0.52
56,0.0,56.0,0.0,56.0,MTBD,PyFluor,s8,0.18
57,0.0,57.0,0.0,57.0,BTPP,PBSF,s19,0.47
58,0.0,58.0,0.0,58.0,BTPP,3-NO2,s31,0.11
59,0.0,59.0,0.0,59.0,BTPP,3-Cl,s12,0.0
60,0.0,60.0,0.0,60.0,MTBD,3-NO2,s1,0.82
61,0.0,61.0,0.0,61.0,MTBD,3-Cl,s12,0.0
62,0.0,62.0,0.0,62.0,MTBD,PBSF,s30,0.31
63,0.0,63.0,0.0,63.0,BTMG,PyFluor,s1,0.79
64,0.0,64.0,0.0,64.0,MTBD,3-NO2,s18,0.42
65,0.0,65.0,0.0,65.0,BTMG,PBSF,s11,0.64
66,0.0,66.0,0.0,66.0,DBU,3-Cl,s5,0.53
67,0.0,67.0,0.0,67.0,DBU,PyFluor,s4,0.63
68,0.0,68.0,0.0,68.0,BTMG,3-NO2,s18,0.84
69,0.0,69.0,0.0,69.0,DBU,3-Cl,s24,0.22
70,0.0,70.0,0.0,70.0,MTBD,3-CF3,s26,0.86
71,0.0,71.0,0.0,71.0,BTPP,PyFluor,s10,0.49
72,0.0,72.0,0.0,72.0,BTMG,3-NO2,s35,0.88
73,0.0,73.0,0.0,73.0,DBU,3-Cl,s8,0.06
74,0.0,74.0,0.0,74.0,MTBD,PyFluor,s27,0.38
75,0.0,75.0,0.0,75.0,DBU,3-Cl,s32,0.1
76,0.0,76.0,0.0,76.0,MTBD,3-Cl,s11,0.3
77,0.0,77.0,0.0,77.0,MTBD,3-CF3,s19,0.38
78,0.0,78.0,0.0,78.0,DBU,PyFluor,s36,0.34
79,0.0,79.0,0.0,79.0,BTPP,PyFluor,s20,0.34
80,0.0,80.0,0.0,80.0,MTBD,3-Cl,s13,0.02
81,0.0,81.0,0.0,81.0,DBU,PyFluor,s8,0.07
82,0.0,82.0,0.0,82.0,MTBD,3-CF3,s22,0.6
83,0.0,83.0,0.0,83.0,MTBD,PyFluor,s4,0.84
84,0.0,84.0,0.0,84.0,DBU,PBSF,s28,0.13
85,0.0,85.0,0.0,85.0,DBU,PBSF,s19,0.33
86,0.0,86.0,0.0,86.0,DBU,3-CF3,s6,0.14
87,0.0,87.0,0.0,87.0,BTMG,3-CF3,s8,0.28
88,0.0,88.0,0.0,88.0,DBU,PBSF,s18,0.29
89,0.0,89.0,0.0,89.0,MTBD,PBSF,s14,0.48
90,0.0,90.0,0.0,90.0,BTMG,PBSF,s20,0.52
91,0.0,91.0,0.0,91.0,MTBD,3-Cl,s26,0.75
92,0.0,92.0,0.0,92.0,BTMG,3-CF3,s18,0.85
93,0.0,93.0,0.0,93.0,BTPP,PBSF,s1,0.94
94,0.0,94.0,0.0,94.0,DBU,3-Cl,s9,0.01
95,0.0,95.0,0.0,95.0,DBU,3-CF3,s35,0.16
96,0.0,96.0,0.0,96.0,BTMG,3-CF3,s6,0.34
97,0.0,97.0,0.0,97.0,BTMG,PyFluor,s4,0.91
98,0.0,98.0,0.0,98.0,MTBD,PyFluor,s22,0.59
99,0.0,99.0,0.0,99.0,BTMG,PyFluor,s24,0.09
100,0.0,100.0,0.0,100.0,MTBD,3-Cl,s36,0.35
101,0.0,101.0,0.0,101.0,BTPP,3-CF3,s23,0.52
102,0.0,102.0,0.0,102.0,BTMG,3-Cl,s8,0.26
103,0.0,103.0,0.0,103.0,BTPP,3-Cl,s25,0.0
104,0.0,104.0,0.0,104.0,BTPP,PyFluor,s34,0.2
105,0.0,105.0,0.0,105.0,BTPP,3-Cl,s13,0.08
106,0.0,106.0,0.0,106.0,BTPP,3-CF3,s8,0.31
107,0.0,107.0,0.0,107.0,MTBD,3-CF3,s21,0.47
108,0.0,108.0,0.0,108.0,BTPP,3-Cl,s22,0.18
109,0.0,109.0,0.0,109.0,BTPP,PyFluor,s11,0.33
110,0.0,110.0,0.0,110.0,MTBD,PBSF,s6,0.38
111,0.0,111.0,0.0,111.0,BTMG,PBSF,s28,0.09
112,0.0,112.0,0.0,112.0,MTBD,3-NO2,s20,0.55
113,0.0,113.0,0.0,113.0,BTPP,3-Cl,s9,0.03
114,0.0,114.0,0.0,114.0,MTBD,3-NO2,s5,0.66
115,0.0,115.0,0.0,115.0,BTPP,3-Cl,s17,0.92
116,0.0,116.0,0.0,116.0,BTPP,3-NO2,s28,0.02
117,0.0,117.0,0.0,117.0,MTBD,3-CF3,s4,0.98
118,0.0,118.0,0.0,118.0,BTPP,PBSF,s29,0.79
119,0.0,119.0,0.0,119.0,DBU,3-Cl,s34,0.32
120,0.0,120.0,0.0,120.0,BTMG,PBSF,s12,0.7
121,0.0,121.0,0.0,121.0,MTBD,3-CF3,s28,0.01
122,0.0,122.0,0.0,122.0,MTBD,3-NO2,s15,0.07
123,0.0,123.0,0.0,123.0,DBU,PBSF,s2,0.39
124,0.0,124.0,0.0,124.0,BTMG,3-NO2,s26,0.86
125,0.0,125.0,0.0,125.0,MTBD,PBSF,s11,0.74
126,0.0,126.0,0.0,126.0,BTPP,PBSF,s20,0.57
127,0.0,127.0,0.0,127.0,DBU,PyFluor,s34,0.46
128,0.0,128.0,0.0,128.0,MTBD,PyFluor,s24,0.13
129,0.0,129.0,0.0,129.0,MTBD,3-NO2,s14,0.12
130,0.0,130.0,0.0,130.0,BTPP,PBSF,s8,0.36
131,0.0,131.0,0.0,131.0,BTPP,3-Cl,s23,0.52
132,0.0,132.0,0.0,132.0,BTMG,PBSF,s21,0.18
133,0.0,133.0,0.0,133.0,DBU,3-NO2,s4,0.65
134,0.0,134.0,0.0,134.0,BTPP,PyFluor,s35,0.91
135,0.0,135.0,0.0,135.0,BTMG,3-NO2,s37,0.86
136,0.0,136.0,0.0,136.0,BTPP,3-NO2,s15,0.05
137,0.0,137.0,0.0,137.0,DBU,3-Cl,s23,0.06
138,0.0,138.0,0.0,138.0,BTPP,3-NO2,s6,0.49
139,0.0,139.0,0.0,139.0,BTPP,3-NO2,s30,0.11
140,0.0,140.0,0.0,140.0,BTPP,3-Cl,s30,0.35
141,0.0,141.0,0.0,141.0,BTMG,PBSF,s32,0.38
142,0.0,142.0,0.0,142.0,BTPP,3-NO2,s16,0.28
143,0.0,143.0,0.0,143.0,DBU,PyFluor,s10,0.4
144,0.0,144.0,0.0,144.0,MTBD,PBSF,s28,0.13
145,0.0,145.0,0.0,145.0,BTMG,3-CF3,s2,0.57
146,0.0,146.0,0.0,146.0,BTMG,3-Cl,s10,0.3
147,0.0,147.0,0.0,147.0,BTPP,PBSF,s5,0.72
148,0.0,148.0,0.0,148.0,BTPP,3-CF3,s34,0.19
149,0.0,149.0,0.0,149.0,BTPP,3-NO2,s10,0.56
150,1.0,0.0,0.0,0.0,BTMG,PyFluor,s30,0.51
151,1.0,1.0,0.0,1.0,BTPP,PyFluor,s10,0.49
152,1.0,2.0,0.0,2.0,DBU,PBSF,s8,0.1
153,1.0,3.0,0.0,3.0,BTMG,3-NO2,s7,0.77
154,1.0,4.0,0.0,4.0,BTMG,PyFluor,s23,0.24
155,1.0,5.0,0.0,5.0,DBU,3-NO2,s33,0.57
156,1.0,6.0,0.0,6.0,MTBD,PyFluor,s37,0.73
157,1.0,7.0,0.0,7.0,BTPP,3-CF3,s36,0.57
158,1.0,8.0,0.0,8.0,BTMG,3-NO2,s17,0.83
159,1.0,9.0,0.0,9.0,MTBD,3-Cl,s15,0.05
160,1.0,10.0,0.0,10.0,BTMG,PBSF,s15,0.12
161,1.0,11.0,0.0,11.0,MTBD,3-CF3,s30,0.42
162,1.0,12.0,0.0,12.0,DBU,PBSF,s18,0.29
163,1.0,13.0,0.0,13.0,BTMG,PyFluor,s9,0.01
164,1.0,14.0,0.0,14.0,BTPP,3-NO2,s15,0.05
165,1.0,15.0,0.0,15.0,BTMG,3-Cl,s29,0.79
166,1.0,16.0,0.0,16.0,BTMG,3-Cl,s26,0.74
167,1.0,17.0,0.0,17.0,MTBD,3-Cl,s21,0.38
168,1.0,18.0,0.0,18.0,MTBD,PBSF,s34,0.62
169,1.0,19.0,0.0,19.0,BTPP,PBSF,s31,0.28
170,1.0,20.0,0.0,20.0,DBU,3-Cl,s3,0.0
171,1.0,21.0,0.0,21.0,BTMG,3-NO2,s18,0.84
172,1.0,22.0,0.0,22.0,DBU,3-CF3,s8,0.08
173,1.0,23.0,0.0,23.0,BTMG,PBSF,s21,0.18
174,1.0,24.0,0.0,24.0,MTBD,3-CF3,s28,0.01
175,1.0,25.0,0.0,25.0,DBU,PBSF,s30,0.31
176,1.0,26.0,0.0,26.0,BTMG,3-NO2,s10,0.55
177,1.0,27.0,0.0,27.0,BTPP,PyFluor,s29,0.65
178,1.0,28.0,0.0,28.0,BTPP,PBSF,s12,0.7
179,1.0,29.0,0.0,29.0,MTBD,PBSF,s11,0.74
180,1.0,30.0,0.0,30.0,MTBD,3-CF3,s15,0.09
181,1.0,31.0,0.0,31.0,BTMG,3-NO2,s29,0.43
182,1.0,32.0,0.0,32.0,MTBD,PyFluor,s2,0.59
183,1.0,33.0,0.0,33.0,BTPP,3-Cl,s8,0.27
184,1.0,34.0,0.0,34.0,DBU,3-Cl,s29,0.58
185,1.0,35.0,0.0,35.0,MTBD,PyFluor,s18,0.41
186,1.0,36.0,0.0,36.0,DBU,3-CF3,s11,0.41
187,1.0,37.0,0.0,37.0,MTBD,PyFluor,s17,0.26
188,1.0,38.0,0.0,38.0,MTBD,3-Cl,s6,0.17
189,1.0,39.0,0.0,39.0,BTPP,PyFluor,s26,0.77
190,1.0,40.0,0.0,40.0,DBU,PBSF,s24,0.13
191,1.0,41.0,0.0,41.0,BTMG,3-CF3,s13,0.06
192,1.0,42.0,0.0,42.0,MTBD,PyFluor,s30,0.53
193,1.0,43.0,0.0,43.0,BTMG,PBSF,s31,0.09
194,1.0,44.0,0.0,44.0,MTBD,3-NO2,s37,0.82
195,1.0,45.0,0.0,45.0,MTBD,3-Cl,s36,0.35
196,1.0,46.0,0.0,46.0,BTMG,3-NO2,s8,0.27
197,1.0,47.0,0.0,47.0,MTBD,3-CF3,s22,0.6
198,1.0,48.0,0.0,48.0,BTPP,3-CF3,s14,0.09
199,1.0,49.0,0.0,49.0,BTPP,PBSF,s24,0.16
200,1.0,50.0,0.0,50.0,BTMG,3-Cl,s14,0.02
201,1.0,51.0,0.0,51.0,BTPP,3-Cl,s19,0.47
202,1.0,52.0,0.0,52.0,BTPP,3-NO2,s37,0.76
203,1.0,53.0,0.0,53.0,BTMG,PyFluor,s12,0.0
204,1.0,54.0,0.0,54.0,MTBD,3-CF3,s19,0.38
205,1.0,55.0,0.0,55.0,BTPP,PyFluor,s4,0.98
206,1.0,56.0,0.0,56.0,MTBD,PBSF,s16,0.44
207,1.0,57.0,0.0,57.0,MTBD,PyFluor,s25,0.01
208,1.0,58.0,0.0,58.0,DBU,PBSF,s32,0.33
209,1.0,59.0,0.0,59.0,BTPP,PBSF,s22,0.82
210,1.0,60.0,0.0,60.0,BTMG,3-CF3,s6,0.34
211,1.0,61.0,0.0,61.0,MTBD,3-Cl,s24,0.3
212,1.0,62.0,0.0,62.0,BTPP,3-CF3,s22,0.55
213,1.0,63.0,0.0,63.0,DBU,PBSF,s35,0.31
214,1.0,64.0,0.0,64.0,MTBD,3-NO2,s34,0.38
215,1.0,65.0,0.0,65.0,BTPP,3-NO2,s16,0.28
216,1.0,66.0,0.0,66.0,MTBD,3-NO2,s22,0.63
217,1.0,67.0,0.0,67.0,BTPP,PyFluor,s1,0.88
218,1.0,68.0,0.0,68.0,BTPP,3-Cl,s23,0.52
219,1.0,69.0,0.0,69.0,DBU,3-NO2,s30,0.36
220,1.0,70.0,0.0,70.0,MTBD,PBSF,s12,0.8
221,1.0,71.0,0.0,71.0,BTMG,3-Cl,s6,0.21
222,1.0,72.0,0.0,72.0,MTBD,3-CF3,s18,0.38
223,1.0,73.0,0.0,73.0,DBU,3-CF3,s34,0.38
224,1.0,74.0,0.0,74.0,BTMG,3-Cl,s36,0.26
225,1.0,75.0,0.0,75.0,MTBD,3-CF3,s35,0.53
226,1.0,76.0,0.0,76.0,DBU,PBSF,s12,0.65
227,1.0,77.0,0.0,77.0,BTPP,3-CF3,s26,0.82
228,1.0,78.0,0.0,78.0,BTPP,3-CF3,s25,0.0
229,1.0,79.0,0.0,79.0,BTPP,PBSF,s36,0.86
230,1.0,80.0,0.0,80.0,DBU,PyFluor,s2,0.57
231,1.0,81.0,0.0,81.0,MTBD,3-Cl,s18,0.36
232,1.0,82.0,0.0,82.0,BTPP,3-CF3,s1,0.96
233,1.0,83.0,0.0,83.0,DBU,PyFluor,s7,0.54
234,1.0,84.0,0.0,84.0,MTBD,3-CF3,s36,0.6
235,1.0,85.0,0.0,85.0,MTBD,3-NO2,s6,0.36
236,1.0,86.0,0.0,86.0,DBU,3-NO2,s23,0.11
237,1.0,87.0,0.0,87.0,DBU,PBSF,s14,0.4
238,1.0,88.0,0.0,88.0,BTMG,PyFluor,s8,0.17
239,1.0,89.0,0.0,89.0,BTMG,3-Cl,s3,0.0
240,1.0,90.0,0.0,90.0,DBU,3-CF3,s20,0.43
241,1.0,91.0,0.0,91.0,DBU,PyFluor,s23,0.06
242,1.0,92.0,0.0,92.0,DBU,PBSF,s33,0.5
243,1.0,93.0,0.0,93.0,BTMG,3-NO2,s24,0.28
244,1.0,94.0,0.0,94.0,MTBD,3-NO2,s21,0.46
245,1.0,95.0,0.0,95.0,MTBD,3-CF3,s20,0.58
246,1.0,96.0,0.0,96.0,BTMG,3-Cl,s21,0.49
247,1.0,97.0,0.0,97.0,BTPP,3-CF3,s17,0.99
248,1.0,98.0,0.0,98.0,BTMG,PBSF,s30,0.42
249,1.0,99.0,0.0,99.0,BTPP,3-Cl,s37,0.78
250,1.0,100.0,0.0,100.0,MTBD,3-Cl,s27,0.32
251,1.0,101.0,0.0,101.0,MTBD,3-NO2,s20,0.55
252,1.0,102.0,0.0,102.0,BTMG,PyFluor,s24,0.09
253,1.0,103.0,0.0,103.0,DBU,PyFluor,s33,0.61
254,1.0,104.0,0.0,104.0,MTBD,PyFluor,s24,0.13
255,1.0,105.0,0.0,105.0,BTMG,3-CF3,s34,0.27
256,1.0,106.0,0.0,106.0,MTBD,3-CF3,s1,0.87
257,1.0,107.0,0.0,107.0,MTBD,PyFluor,s4,0.84
258,1.0,108.0,0.0,108.0,BTMG,3-CF3,s31,0.07
259,1.0,109.0,0.0,109.0,BTMG,3-CF3,s3,0.0
260,1.0,110.0,0.0,110.0,DBU,3-Cl,s23,0.06
261,1.0,111.0,0.0,111.0,MTBD,3-Cl,s14,0.02
262,1.0,112.0,0.0,112.0,MTBD,3-CF3,s17,0.36
263,1.0,113.0,0.0,113.0,BTMG,3-Cl,s17,0.83
264,1.0,114.0,0.0,114.0,BTMG,3-CF3,s15,0.06
265,1.0,115.0,0.0,115.0,DBU,3-NO2,s31,0.03
266,1.0,116.0,0.0,116.0,BTPP,3-Cl,s35,0.94
267,1.0,117.0,0.0,117.0,BTPP,PyFluor,s23,0.36
268,1.0,118.0,0.0,118.0,BTMG,PBSF,s28,0.09
269,1.0,119.0,0.0,119.0,BTMG,PBSF,s35,0.81
270,1.0,120.0,0.0,120.0,DBU,PBSF,s9,0.83
271,1.0,121.0,0.0,121.0,MTBD,3-NO2,s17,0.41
272,1.0,122.0,0.0,122.0,MTBD,3-CF3,s16,0.39
273,1.0,123.0,0.0,123.0,DBU,PyFluor,s22,0.42
274,1.0,124.0,0.0,124.0,DBU,PBSF,s26,0.52
275,1.0,125.0,0.0,125.0,DBU,PBSF,s23,0.15
276,1.0,126.0,0.0,126.0,DBU,3-NO2,s8,0.08
277,1.0,127.0,0.0,127.0,MTBD,3-CF3,s3,0.04
278,1.0,128.0,0.0,128.0,BTMG,3-Cl,s15,0.01
279,1.0,129.0,0.0,129.0,BTMG,3-Cl,s35,0.86
280,1.0,130.0,0.0,130.0,DBU,3-Cl,s22,0.23
281,1.0,131.0,0.0,131.0,MTBD,3-NO2,s9,0.12
282,1.0,132.0,0.0,132.0,BTPP,3-CF3,s33,0.75
283,1.0,133.0,0.0,133.0,DBU,3-Cl,s26,0.46
284,1.0,134.0,0.0,134.0,DBU,PBSF,s37,0.57
285,1.0,135.0,0.0,135.0,BTMG,3-CF3,s27,0.47
286,1.0,136.0,0.0,136.0,BTPP,3-Cl,s16,0.11
287,1.0,137.0,0.0,137.0,MTBD,3-Cl,s20,0.59
288,1.0,138.0,0.0,138.0,DBU,PyFluor,s6,0.13
289,1.0,139.0,0.0,139.0,BTMG,PBSF,s34,0.64
290,1.0,140.0,0.0,140.0,DBU,PBSF,s6,0.29
291,1.0,141.0,0.0,141.0,MTBD,PyFluor,s5,0.68
292,1.0,142.0,0.0,142.0,DBU,3-Cl,s16,0.17
293,1.0,143.0,0.0,143.0,DBU,3-Cl,s21,0.28
294,1.0,144.0,0.0,144.0,BTPP,PyFluor,s16,0.24
295,1.0,145.0,0.0,145.0,BTMG,3-Cl,s22,0.1
296,1.0,146.0,0.0,146.0,DBU,PBSF,s19,0.33
297,1.0,147.0,0.0,147.0,DBU,3-Cl,s37,0.39
298,1.0,148.0,0.0,148.0,BTPP,3-NO2,s14,0.11
299,1.0,149.0,0.0,149.0,BTMG,PyFluor,s31,0.05
300,2.0,0.0,0.0,0.0,BTMG,3-CF3,s23,0.34
301,2.0,1.0,0.0,1.0,MTBD,3-NO2,s24,0.27
302,2.0,2.0,0.0,2.0,DBU,3-Cl,s9,0.01
303,2.0,3.0,0.0,3.0,BTPP,PyFluor,s18,0.85
304,2.0,4.0,0.0,4.0,MTBD,3-CF3,s10,0.6
305,2.0,5.0,0.0,5.0,BTPP,3-CF3,s27,0.28
306,2.0,6.0,0.0,6.0,BTMG,PyFluor,s28,0.0
307,2.0,7.0,0.0,7.0,BTMG,PyFluor,s30,0.51
308,2.0,8.0,0.0,8.0,DBU,PyFluor,s10,0.4
309,2.0,9.0,0.0,9.0,MTBD,PyFluor,s33,0.8
