,num_sims,round,experiment,horizon,electrophile_id,ligand_name,yield
0,0.0,0.0,0.0,0.0,s31,A-paPhos,1
1,0.0,1.0,0.0,1.0,s7,CX-FBu,0
2,0.0,2.0,0.0,2.0,s10,CX-PCy,1
3,0.0,3.0,0.0,3.0,s19,Cy-BippyPhos,1
4,0.0,4.0,0.0,4.0,s2,Cy-JohnPhos,0
5,0.0,5.0,0.0,5.0,s29,Cy-PhenCar-Phos,1
6,0.0,6.0,0.0,6.0,s9,Cy-vBRIDP,1
7,0.0,7.0,0.0,7.0,s8,Kwong,1
8,0.0,8.0,0.0,8.0,s9,MeO-KITPHOS,1
9,0.0,9.0,0.0,9.0,s12,MePhos,1
10,0.0,10.0,0.0,10.0,s12,PCy3 HBF4,0
11,0.0,11.0,0.0,11.0,s15,Ph-DavePhos,0
12,0.0,12.0,0.0,12.0,s18,Ph-SPhos,0
13,0.0,13.0,0.0,13.0,s30,Ph-XPhos,0
14,0.0,14.0,0.0,14.0,s19,PMe3 HBF4,0
15,0.0,15.0,0.0,15.0,s8,P(o-Anis)3,1
16,0.0,16.0,0.0,16.0,s20,P(p-Anis)3,1
17,0.0,17.0,0.0,17.0,s23,P(p-F-Ph)3,0
18,0.0,18.0,0.0,18.0,s23,PPh2Cy,0
19,0.0,19.0,0.0,19.0,s1,PPh3,1
20,0.0,20.0,0.0,20.0,s4,PPhtBu2,0
21,0.0,21.0,0.0,21.0,s16,PXy3,1
22,0.0,22.0,0.0,22.0,s3,VPhos,0
23,0.0,23.0,0.0,23.0,s1,A-paPhos,1
24,0.0,24.0,0.0,24.0,s10,A-paPhos,0
25,0.0,25.0,0.0,25.0,s26,CX-PCy,0
26,0.0,26.0,0.0,26.0,s20,Cy-BippyPhos,0
27,0.0,27.0,0.0,27.0,s14,Cy-PhenCar-Phos,1
28,0.0,28.0,0.0,28.0,s1,Cy-PhenCar-Phos,1
29,0.0,29.0,0.0,29.0,s3,Cy-PhenCar-Phos,0
30,0.0,30.0,0.0,30.0,s30,Cy-vBRIDP,0
31,0.0,31.0,0.0,31.0,s30,Kwong,0
