,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a1,P2Et,XPhos,s5,0.4758635419
1,0.0,1.0,0.0,1.0,a9,P2Et,tBuXPhos,s11,0.08008432112000001
2,0.0,2.0,0.0,2.0,a8,P2Et,tBuBrettPhos,s15,0.131837798
3,0.0,3.0,0.0,3.0,a7,P2Et,AdBrettPhos,s15,0.7031871872000001
4,0.0,4.0,0.0,4.0,a14,BTMG,XPhos,s3,0.37395760879999995
5,0.0,5.0,0.0,5.0,a6,BTMG,tBuXPhos,s9,0.3040581968
6,0.0,6.0,0.0,6.0,a18,BTMG,tBuBrettPhos,s15,0.5752960259000001
7,0.0,7.0,0.0,7.0,a12,BTMG,AdBrettPhos,s3,0.30772238420000003
8,0.0,8.0,0.0,8.0,a12,MTBD,XPhos,s12,0.2731009438
9,0.0,9.0,0.0,9.0,a14,MTBD,tBuXPhos,s14,0.7673725946000001
10,0.0,10.0,0.0,10.0,a17,MTBD,tBuBrettPhos,s11,0.7105445564999999
11,0.0,11.0,0.0,11.0,a16,MTBD,AdBrettPhos,s3,0.4021154517
12,0.0,12.0,0.0,12.0,a2,MTBD,tBuXPhos,s10,0.8668959994
13,0.0,13.0,0.0,13.0,a15,MTBD,tBuBrettPhos,s10,0.9099050642000001
14,0.0,14.0,0.0,14.0,a1,P2Et,AdBrettPhos,s3,0.41332486500000004
15,0.0,15.0,0.0,15.0,a6,MTBD,tBuXPhos,s7,0.0
16,0.0,16.0,0.0,16.0,a11,MTBD,tBuBrettPhos,s9,0.3369627508
17,0.0,17.0,0.0,17.0,a4,BTMG,tBuBrettPhos,s2,0.4264405348
18,0.0,18.0,0.0,18.0,a4,P2Et,XPhos,s4,0.009481288650000001
19,0.0,19.0,0.0,19.0,a16,MTBD,tBuBrettPhos,s11,0.8752908706
20,0.0,20.0,0.0,20.0,a16,MTBD,tBuBrettPhos,s4,0.0
21,0.0,21.0,0.0,21.0,a4,P2Et,AdBrettPhos,s3,0.3980414391
22,0.0,22.0,0.0,22.0,a2,MTBD,AdBrettPhos,s6,0.5314523882000001
23,0.0,23.0,0.0,23.0,a11,BTMG,XPhos,s1,0.007575191240000001
24,0.0,24.0,0.0,24.0,a3,BTMG,tBuBrettPhos,s8,0.5004747607
25,0.0,25.0,0.0,25.0,a14,MTBD,tBuXPhos,s10,0.8251131881
26,0.0,26.0,0.0,26.0,a8,MTBD,tBuXPhos,s10,0.6335366236
27,0.0,27.0,0.0,27.0,a20,MTBD,tBuXPhos,s14,0.7598553455
28,0.0,28.0,0.0,28.0,a20,MTBD,tBuXPhos,s2,0.39353161579999996
29,0.0,29.0,0.0,29.0,a1,MTBD,AdBrettPhos,s4,0.0285091101
30,0.0,30.0,0.0,30.0,a1,BTMG,AdBrettPhos,s4,0.01429258981
31,0.0,31.0,0.0,31.0,a19,BTMG,tBuXPhos,s10,0.6460204453999999
32,0.0,32.0,0.0,32.0,a8,BTMG,tBuXPhos,s7,0.0047881939099999994
33,0.0,33.0,0.0,33.0,a20,MTBD,tBuXPhos,s13,0.07182520972
34,0.0,34.0,0.0,34.0,a2,P2Et,AdBrettPhos,s2,0.08742546332
