,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a8,P2Et,XPhos,s10,0.07147436012000001
1,0.0,1.0,0.0,1.0,a5,P2Et,tBuXPhos,s12,0.4027887601
2,0.0,2.0,0.0,2.0,a7,P2Et,tBuBrettPhos,s2,0.1965092582
3,0.0,3.0,0.0,3.0,a2,P2Et,AdBrettPhos,s9,0.252527032
4,0.0,4.0,0.0,4.0,a16,BTMG,XPhos,s8,0.203250042
5,0.0,5.0,0.0,5.0,a16,BTMG,tBuXPhos,s8,0.5771086680999999
6,0.0,6.0,0.0,6.0,a13,BTMG,tBuBrettPhos,s3,0.3762624076
7,0.0,7.0,0.0,7.0,a11,BTMG,AdBrettPhos,s6,0.00974444275
8,0.0,8.0,0.0,8.0,a5,MTBD,XPhos,s2,0.2258353247
9,0.0,9.0,0.0,9.0,a20,MTBD,tBuXPhos,s2,0.39353161579999996
10,0.0,10.0,0.0,10.0,a5,MTBD,tBuBrettPhos,s7,0.056886720610000004
11,0.0,11.0,0.0,11.0,a2,MTBD,AdBrettPhos,s9,0.809780499
12,0.0,12.0,0.0,12.0,a6,MTBD,AdBrettPhos,s14,0.1439054676
13,0.0,13.0,0.0,13.0,a19,BTMG,tBuXPhos,s5,0.3921368937
14,0.0,14.0,0.0,14.0,a12,P2Et,tBuXPhos,s2,0.34220885199999995
15,0.0,15.0,0.0,15.0,a1,MTBD,tBuXPhos,s9,0.7883510746
16,0.0,16.0,0.0,16.0,a10,BTMG,tBuBrettPhos,s1,0.00927604534
17,0.0,17.0,0.0,17.0,a12,MTBD,tBuXPhos,s9,0.6028741502
18,0.0,18.0,0.0,18.0,a15,P2Et,AdBrettPhos,s7,0.02350274713
19,0.0,19.0,0.0,19.0,a10,MTBD,XPhos,s1,0.1078337463
20,0.0,20.0,0.0,20.0,a4,BTMG,XPhos,s8,0.3900815943
21,0.0,21.0,0.0,21.0,a16,P2Et,tBuBrettPhos,s4,0.0
22,0.0,22.0,0.0,22.0,a18,BTMG,tBuXPhos,s3,0.34910394330000005
23,0.0,23.0,0.0,23.0,a11,MTBD,AdBrettPhos,s5,0.1844134196
24,0.0,24.0,0.0,24.0,a10,MTBD,tBuXPhos,s14,0.548424453
25,0.0,25.0,0.0,25.0,a13,P2Et,XPhos,s5,0.251779767
26,0.0,26.0,0.0,26.0,a15,MTBD,tBuBrettPhos,s6,0.6594429183
27,0.0,27.0,0.0,27.0,a17,P2Et,tBuXPhos,s4,0.021186600910000002
28,0.0,28.0,0.0,28.0,a9,MTBD,tBuBrettPhos,s14,0.8689971677
29,0.0,29.0,0.0,29.0,a3,MTBD,tBuBrettPhos,s7,0.0
30,0.0,30.0,0.0,30.0,a18,BTMG,AdBrettPhos,s13,0.02039001868
31,0.0,31.0,0.0,31.0,a12,MTBD,tBuXPhos,s8,0.6264758393000001
32,0.0,32.0,0.0,32.0,a3,BTMG,XPhos,s7,0.00705195152
33,0.0,33.0,0.0,33.0,a15,BTMG,tBuXPhos,s9,0.5981582481000001
34,0.0,34.0,0.0,34.0,a15,MTBD,tBuXPhos,s8,0.6907936453000001
35,0.0,35.0,0.0,35.0,a2,MTBD,tBuXPhos,s7,0.1531942872
36,0.0,36.0,0.0,36.0,a16,MTBD,AdBrettPhos,s14,0.6150487524
37,0.0,37.0,0.0,37.0,a20,BTMG,tBuXPhos,s4,0.00252253584
38,0.0,38.0,0.0,38.0,a17,BTMG,tBuBrettPhos,s14,0.421300284
