,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.07147436012000001,0.07147436012000001
1,0.0,1.0,0.0,1.0,1.0,0.4027887601,0.47426312022
2,0.0,2.0,0.0,2.0,2.0,0.1965092582,0.67077237842
3,0.0,3.0,0.0,3.0,3.0,0.252527032,0.9232994104200001
4,0.0,4.0,0.0,4.0,4.0,0.203250042,1.1265494524200002
5,0.0,5.0,0.0,5.0,5.0,0.5771086680999999,1.70365812052
6,0.0,6.0,0.0,6.0,6.0,0.3762624076,2.07992052812
7,0.0,7.0,0.0,7.0,7.0,0.00974444275,2.0896649708700004
8,0.0,8.0,0.0,8.0,8.0,0.2258353247,2.3155002955700006
9,0.0,9.0,0.0,9.0,9.0,0.39353161579999996,2.7090319113700003
10,0.0,10.0,0.0,10.0,10.0,0.056886720610000004,2.7659186319800004
11,0.0,11.0,0.0,11.0,11.0,0.809780499,3.5756991309800004
12,0.0,12.0,0.0,12.0,11.0,0.1439054676,3.71960459858
13,0.0,13.0,0.0,13.0,5.0,0.3921368937,4.11174149228
14,0.0,14.0,0.0,14.0,1.0,0.34220885199999995,4.45395034428
15,0.0,15.0,0.0,15.0,9.0,0.7883510746,5.24230141888
16,0.0,16.0,0.0,16.0,6.0,0.00927604534,5.25157746422
17,0.0,17.0,0.0,17.0,9.0,0.6028741502,5.85445161442
18,0.0,18.0,0.0,18.0,3.0,0.02350274713,5.8779543615500005
19,0.0,19.0,0.0,19.0,8.0,0.1078337463,5.98578810785
20,0.0,20.0,0.0,20.0,4.0,0.3900815943,6.37586970215
21,0.0,21.0,0.0,21.0,2.0,0.0,6.37586970215
22,0.0,22.0,0.0,22.0,5.0,0.34910394330000005,6.72497364545
23,0.0,23.0,0.0,23.0,11.0,0.1844134196,6.909387065050001
24,0.0,24.0,0.0,24.0,9.0,0.548424453,7.457811518050001
25,0.0,25.0,0.0,25.0,0.0,0.251779767,7.709591285050001
26,0.0,26.0,0.0,26.0,10.0,0.6594429183,8.369034203350001
27,0.0,27.0,0.0,27.0,1.0,0.021186600910000002,8.39022080426
28,0.0,28.0,0.0,28.0,10.0,0.8689971677,9.25921797196
29,0.0,29.0,0.0,29.0,10.0,0.0,9.25921797196
30,0.0,30.0,0.0,30.0,7.0,0.02039001868,9.27960799064
31,0.0,31.0,0.0,31.0,9.0,0.6264758393000001,9.90608382994
32,0.0,32.0,0.0,32.0,4.0,0.00705195152,9.91313578146
33,0.0,33.0,0.0,33.0,5.0,0.5981582481000001,10.51129402956
34,0.0,34.0,0.0,34.0,9.0,0.6907936453000001,11.20208767486
35,0.0,35.0,0.0,35.0,9.0,0.1531942872,11.35528196206
36,0.0,36.0,0.0,36.0,11.0,0.6150487524,11.97033071446
37,0.0,37.0,0.0,37.0,5.0,0.00252253584,11.9728532503
38,0.0,38.0,0.0,38.0,6.0,0.421300284,12.3941535343
39,0.0,39.0,0.0,39.0,11.0,0.00789038452,12.40204391882
40,0.0,40.0,0.0,40.0,8.0,0.1657162393,12.56776015812
41,0.0,41.0,0.0,41.0,0.0,0.00121773863,12.56897789675
42,0.0,42.0,0.0,42.0,3.0,0.0,12.56897789675
43,0.0,43.0,0.0,43.0,10.0,0.3644526769,12.93343057365
44,0.0,44.0,0.0,44.0,9.0,0.39626886419999996,13.32969943785
45,0.0,45.0,0.0,45.0,6.0,0.336420654,13.666120091849999
46,0.0,46.0,0.0,46.0,2.0,0.10372359660000001,13.769843688449999
47,0.0,47.0,0.0,47.0,1.0,0.4211946098,14.19103829825
48,0.0,48.0,0.0,48.0,9.0,0.0,14.19103829825
49,0.0,49.0,0.0,49.0,10.0,0.38155655580000003,14.57259485405
50,0.0,50.0,0.0,50.0,5.0,0.07837919120999999,14.65097404526
51,0.0,51.0,0.0,51.0,4.0,0.02840028013,14.67937432539
52,0.0,52.0,0.0,52.0,1.0,0.6246560878999999,15.30403041329
53,0.0,53.0,0.0,53.0,1.0,0.33447098259999997,15.63850139589
54,0.0,54.0,0.0,54.0,6.0,0.0173070141,15.65580840999
55,0.0,55.0,0.0,55.0,11.0,0.7754677515,16.43127616149
56,0.0,56.0,0.0,56.0,11.0,0.3956647024,16.82694086389
57,0.0,57.0,0.0,57.0,7.0,0.5013324447,17.328273308590003
58,0.0,58.0,0.0,58.0,7.0,0.1379100096,17.46618331819
59,0.0,59.0,0.0,59.0,10.0,0.1264243358,17.59260765399
60,0.0,60.0,0.0,60.0,11.0,0.6368559531,18.22946360709
61,0.0,61.0,0.0,61.0,11.0,0.05889073661,18.2883543437
62,0.0,62.0,0.0,62.0,9.0,0.7863353277,19.0746896714
63,0.0,63.0,0.0,63.0,9.0,0.4958296909,19.5705193623
64,0.0,64.0,0.0,64.0,8.0,0.5009944792000001,20.0715138415
65,0.0,65.0,0.0,65.0,9.0,0.4437252425,20.515239084
66,0.0,66.0,0.0,66.0,8.0,0.4663249784,20.9815640624
67,0.0,67.0,0.0,67.0,9.0,0.4901650319,21.4717290943
68,0.0,68.0,0.0,68.0,1.0,0.30388997759999997,21.7756190719
69,0.0,69.0,0.0,69.0,9.0,0.8440416295,22.6196607014
70,0.0,70.0,0.0,70.0,9.0,0.2711496768,22.8908103782
71,0.0,71.0,0.0,71.0,9.0,0.763025428,23.6538358062
72,0.0,72.0,0.0,72.0,9.0,0.0549871711,23.7088229773
73,0.0,73.0,0.0,73.0,8.0,0.05298016227,23.76180313957
74,0.0,74.0,0.0,74.0,5.0,0.8621979782,24.62400111777
75,0.0,75.0,0.0,75.0,5.0,0.6093427362,25.23334385397
76,0.0,76.0,0.0,76.0,5.0,0.21838532619999998,25.45172918017
77,0.0,77.0,0.0,77.0,5.0,0.6884655406,26.140194720769998
78,0.0,78.0,0.0,78.0,5.0,0.4526243148,26.59281903557
79,0.0,79.0,0.0,79.0,0.0,0.09677591971,26.68959495528
80,0.0,80.0,0.0,80.0,5.0,0.3801577432,27.069752698480002
81,0.0,81.0,0.0,81.0,11.0,0.5249415636,27.59469426208
82,0.0,82.0,0.0,82.0,9.0,0.8621496371,28.45684389918
83,0.0,83.0,0.0,83.0,9.0,0.53675534,28.99359923918
84,0.0,84.0,0.0,84.0,9.0,0.07182520972,29.0654244489
85,0.0,85.0,0.0,85.0,10.0,0.3361043599,29.4015288088
86,0.0,86.0,0.0,86.0,2.0,0.106093201,29.5076220098
