,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a12,MTBD,AdBrettPhos,s4,0.007072545920000001
1,0.0,1.0,0.0,1.0,a2,P2Et,tBuBrettPhos,s8,0.1947378974
2,0.0,2.0,0.0,2.0,a14,MTBD,XPhos,s15,0.43082230610000005
3,0.0,3.0,0.0,3.0,a5,MTBD,AdBrettPhos,s1,0.07259820865
4,0.0,4.0,0.0,4.0,a16,MTBD,AdBrettPhos,s8,0.3951845686
5,0.0,5.0,0.0,5.0,a14,BTMG,XPhos,s6,0.17723183909999998
6,0.0,6.0,0.0,6.0,a2,MTBD,XPhos,s8,0.1539753007
7,0.0,7.0,0.0,7.0,a10,MTBD,XPhos,s5,0.05298016227
8,0.0,8.0,0.0,8.0,a18,MTBD,AdBrettPhos,s13,0.0
9,0.0,9.0,0.0,9.0,a11,MTBD,XPhos,s14,0.1251722888
10,0.0,10.0,0.0,10.0,a5,P2Et,XPhos,s15,0.149442896
11,0.0,11.0,0.0,11.0,a7,MTBD,tBuBrettPhos,s12,0.8932312926999999
12,0.0,12.0,0.0,12.0,a10,MTBD,tBuBrettPhos,s1,0.2024596352
13,0.0,13.0,0.0,13.0,a19,MTBD,tBuBrettPhos,s7,0.09293896223999999
14,0.0,14.0,0.0,14.0,a3,MTBD,tBuBrettPhos,s14,0.8932288292
15,0.0,15.0,0.0,15.0,a5,MTBD,tBuBrettPhos,s13,0.08955957809
16,0.0,16.0,0.0,16.0,a7,MTBD,tBuBrettPhos,s13,0.20996619049999998
17,0.0,17.0,0.0,17.0,a5,MTBD,tBuBrettPhos,s10,0.7792695821
18,0.0,18.0,0.0,18.0,a8,MTBD,tBuBrettPhos,s12,0.8775322874
19,0.0,19.0,0.0,19.0,a20,MTBD,tBuBrettPhos,s4,0.0
20,0.0,20.0,0.0,20.0,a4,MTBD,tBuBrettPhos,s2,0.47555818
21,0.0,21.0,0.0,21.0,a13,MTBD,tBuBrettPhos,s9,0.7183207772
22,0.0,22.0,0.0,22.0,a13,MTBD,tBuBrettPhos,s13,0.02354282195
23,0.0,23.0,0.0,23.0,a7,MTBD,tBuBrettPhos,s4,0.0049264217
24,0.0,24.0,0.0,24.0,a14,MTBD,tBuBrettPhos,s4,0.0
25,0.0,25.0,0.0,25.0,a7,MTBD,XPhos,s13,0.13375727639999999
26,0.0,26.0,0.0,26.0,a7,BTMG,XPhos,s9,0.35153745630000005
27,0.0,27.0,0.0,27.0,a8,BTMG,XPhos,s4,0.0
28,0.0,28.0,0.0,28.0,a8,BTMG,tBuBrettPhos,s14,0.2620309393
29,0.0,29.0,0.0,29.0,a4,MTBD,tBuBrettPhos,s7,0.0
30,0.0,30.0,0.0,30.0,a18,MTBD,tBuBrettPhos,s3,0.41172900319999994
31,0.0,31.0,0.0,31.0,a1,MTBD,tBuBrettPhos,s2,0.49613676300000004
32,0.0,32.0,0.0,32.0,a11,MTBD,AdBrettPhos,s12,0.3568280094
33,0.0,33.0,0.0,33.0,a11,P2Et,XPhos,s8,0.0
34,0.0,34.0,0.0,34.0,a14,MTBD,tBuBrettPhos,s6,0.4953018855
35,0.0,35.0,0.0,35.0,a4,BTMG,tBuXPhos,s1,0.3188044847
36,0.0,36.0,0.0,36.0,a10,MTBD,tBuBrettPhos,s3,0.38796383419999997
37,0.0,37.0,0.0,37.0,a15,MTBD,tBuBrettPhos,s10,0.9099050642000001
38,0.0,38.0,0.0,38.0,a11,MTBD,tBuBrettPhos,s11,0.4089777506
39,0.0,39.0,0.0,39.0,a7,MTBD,XPhos,s7,0.028414599470000003
40,0.0,40.0,0.0,40.0,a16,P2Et,tBuBrettPhos,s15,0.4987050942
41,0.0,41.0,0.0,41.0,a6,MTBD,AdBrettPhos,s3,0.3956647024
42,0.0,42.0,0.0,42.0,a1,MTBD,tBuBrettPhos,s6,0.4313871983
43,0.0,43.0,0.0,43.0,a4,MTBD,tBuBrettPhos,s5,0.47145342030000004
44,0.0,44.0,0.0,44.0,a17,P2Et,AdBrettPhos,s12,0.2829509241
45,0.0,45.0,0.0,45.0,a19,MTBD,tBuBrettPhos,s2,0.3820471013
46,0.0,46.0,0.0,46.0,a11,MTBD,tBuBrettPhos,s10,0.4001187418
47,0.0,47.0,0.0,47.0,a14,MTBD,tBuBrettPhos,s7,0.04961974313
48,0.0,48.0,0.0,48.0,a19,MTBD,tBuBrettPhos,s6,0.4915467449
49,0.0,49.0,0.0,49.0,a1,MTBD,tBuBrettPhos,s15,0.9614798667
50,0.0,50.0,0.0,50.0,a6,MTBD,tBuBrettPhos,s5,0.07275251821
51,0.0,51.0,0.0,51.0,a20,MTBD,tBuBrettPhos,s2,0.38155655580000003
52,0.0,52.0,0.0,52.0,a16,MTBD,tBuBrettPhos,s8,0.5796795903999999
53,0.0,53.0,0.0,53.0,a16,MTBD,XPhos,s3,0.340336157
54,0.0,54.0,0.0,54.0,a12,MTBD,tBuBrettPhos,s1,0.2290680768
55,0.0,55.0,0.0,55.0,a6,MTBD,XPhos,s3,0.1424693951
56,0.0,56.0,0.0,56.0,a4,MTBD,tBuBrettPhos,s9,0.8078664078
57,0.0,57.0,0.0,57.0,a5,MTBD,tBuBrettPhos,s7,0.056886720610000004
58,0.0,58.0,0.0,58.0,a7,MTBD,tBuBrettPhos,s8,0.7503674067999999
59,0.0,59.0,0.0,59.0,a16,MTBD,tBuBrettPhos,s12,0.8961417594
60,0.0,60.0,0.0,60.0,a8,MTBD,tBuBrettPhos,s3,0.4705511825
61,0.0,61.0,0.0,61.0,a7,MTBD,tBuBrettPhos,s10,0.7907949659000001
62,0.0,62.0,0.0,62.0,a13,MTBD,tBuBrettPhos,s7,0.0404132523
63,0.0,63.0,0.0,63.0,a15,MTBD,tBuBrettPhos,s2,0.38031098630000004
64,0.0,64.0,0.0,64.0,a6,MTBD,tBuXPhos,s15,0.45535882569999997
65,0.0,65.0,0.0,65.0,a19,MTBD,AdBrettPhos,s7,0.01342248202
66,0.0,66.0,0.0,66.0,a15,MTBD,tBuXPhos,s6,0.5680622374
67,0.0,67.0,0.0,67.0,a11,MTBD,tBuXPhos,s14,0.3011566658
68,0.0,68.0,0.0,68.0,a12,MTBD,tBuXPhos,s9,0.6028741502
69,0.0,69.0,0.0,69.0,a15,MTBD,tBuXPhos,s7,0.054609039420000005
70,0.0,70.0,0.0,70.0,a3,MTBD,tBuBrettPhos,s12,0.9794800557000001
71,0.0,71.0,0.0,71.0,a13,MTBD,tBuBrettPhos,s6,0.4997942971
72,0.0,72.0,0.0,72.0,a19,MTBD,tBuBrettPhos,s12,0.8564532689000001
73,0.0,73.0,0.0,73.0,a18,MTBD,tBuBrettPhos,s4,0.0
74,0.0,74.0,0.0,74.0,a16,MTBD,tBuBrettPhos,s7,0.04390150349
75,0.0,75.0,0.0,75.0,a19,BTMG,AdBrettPhos,s5,0.38563334600000004
76,0.0,76.0,0.0,76.0,a15,BTMG,XPhos,s4,0.39228315430000005
77,0.0,77.0,0.0,77.0,a10,MTBD,tBuBrettPhos,s11,0.5070720640999999
78,0.0,78.0,0.0,78.0,a4,MTBD,XPhos,s6,0.2696354436
79,0.0,79.0,0.0,79.0,a9,MTBD,tBuBrettPhos,s5,0.45972568719999996
80,0.0,80.0,0.0,80.0,a18,MTBD,tBuBrettPhos,s2,0.3188542104
