,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a12,P2Et,tBuXPhos,s2,0.34220885199999995
1,0.0,1.0,0.0,1.0,a3,P2Et,AdBrettPhos,s7,0.01112658983
2,0.0,2.0,0.0,2.0,a17,P2Et,tBuXPhos,s3,0.1624533971
3,0.0,3.0,0.0,3.0,a11,P2Et,tBuBrettPhos,s10,0.044441098930000006
4,0.0,4.0,0.0,4.0,a4,P2Et,tBuXPhos,s12,0.7322050209
5,0.0,5.0,0.0,5.0,a2,P2Et,tBuXPhos,s8,0.2839231834
6,0.0,6.0,0.0,6.0,a8,MTBD,tBuXPhos,s11,0.8185780625
7,0.0,7.0,0.0,7.0,a12,MTBD,tBuXPhos,s5,0.3125713511
8,0.0,8.0,0.0,8.0,a12,MTBD,tBuXPhos,s6,0.34035555100000003
9,0.0,9.0,0.0,9.0,a11,MTBD,tBuXPhos,s9,0.3076250124
10,0.0,10.0,0.0,10.0,a3,MTBD,AdBrettPhos,s1,0.02510510682
11,0.0,11.0,0.0,11.0,a14,P2Et,tBuXPhos,s8,0.638388463
12,0.0,12.0,0.0,12.0,a10,P2Et,tBuXPhos,s6,0.1937897224
13,0.0,13.0,0.0,13.0,a14,MTBD,tBuXPhos,s9,0.6871737558
14,0.0,14.0,0.0,14.0,a20,P2Et,tBuXPhos,s15,0.758997955
15,0.0,15.0,0.0,15.0,a20,BTMG,tBuXPhos,s3,0.3737794419
16,0.0,16.0,0.0,16.0,a15,P2Et,tBuXPhos,s6,0.6353284655
17,0.0,17.0,0.0,17.0,a7,BTMG,tBuXPhos,s8,0.6104819615
18,0.0,18.0,0.0,18.0,a6,BTMG,tBuXPhos,s1,0.0033050129299999997
19,0.0,19.0,0.0,19.0,a15,P2Et,tBuXPhos,s1,0.33447098259999997
20,0.0,20.0,0.0,20.0,a17,MTBD,tBuXPhos,s7,0.1125502625
21,0.0,21.0,0.0,21.0,a4,MTBD,tBuXPhos,s14,0.8948065113
22,0.0,22.0,0.0,22.0,a9,MTBD,tBuXPhos,s2,0.4009723237
23,0.0,23.0,0.0,23.0,a1,P2Et,tBuXPhos,s14,0.7623980932000001
24,0.0,24.0,0.0,24.0,a14,MTBD,tBuXPhos,s15,0.782529931
25,0.0,25.0,0.0,25.0,a3,P2Et,tBuXPhos,s6,0.4911143206
26,0.0,26.0,0.0,26.0,a1,BTMG,XPhos,s7,0.05831100664
27,0.0,27.0,0.0,27.0,a13,MTBD,tBuXPhos,s11,0.8127460019
28,0.0,28.0,0.0,28.0,a19,P2Et,tBuXPhos,s15,0.7766689194
29,0.0,29.0,0.0,29.0,a6,MTBD,tBuXPhos,s11,0.6085990802
30,0.0,30.0,0.0,30.0,a13,MTBD,tBuXPhos,s14,0.7951166554
31,0.0,31.0,0.0,31.0,a1,MTBD,tBuXPhos,s11,0.9439775173
32,0.0,32.0,0.0,32.0,a10,MTBD,tBuXPhos,s8,0.4417785429999999
33,0.0,33.0,0.0,33.0,a20,MTBD,tBuXPhos,s3,0.4382916168
34,0.0,34.0,0.0,34.0,a9,MTBD,tBuXPhos,s13,0.3187466664
35,0.0,35.0,0.0,35.0,a1,MTBD,tBuXPhos,s6,0.5570113322
36,0.0,36.0,0.0,36.0,a8,MTBD,tBuXPhos,s6,0.4255967392
37,0.0,37.0,0.0,37.0,a19,P2Et,tBuXPhos,s9,0.6353604944
38,0.0,38.0,0.0,38.0,a11,MTBD,tBuXPhos,s6,0.1940320705
39,0.0,39.0,0.0,39.0,a6,MTBD,tBuXPhos,s12,0.8053864746000001
40,0.0,40.0,0.0,40.0,a17,P2Et,tBuXPhos,s15,0.23462934610000002
41,0.0,41.0,0.0,41.0,a9,MTBD,tBuXPhos,s12,0.8851390693000001
42,0.0,42.0,0.0,42.0,a19,MTBD,tBuXPhos,s8,0.7155294754
43,0.0,43.0,0.0,43.0,a14,MTBD,tBuXPhos,s14,0.7673725946000001
44,0.0,44.0,0.0,44.0,a16,MTBD,tBuXPhos,s10,0.8464975432
45,0.0,45.0,0.0,45.0,a18,MTBD,tBuXPhos,s3,0.3935756061
46,0.0,46.0,0.0,46.0,a9,MTBD,tBuXPhos,s10,0.8153694628
47,0.0,47.0,0.0,47.0,a11,MTBD,tBuXPhos,s14,0.3011566658
48,0.0,48.0,0.0,48.0,a12,P2Et,tBuXPhos,s15,0.6573471929
49,0.0,49.0,0.0,49.0,a2,MTBD,tBuXPhos,s5,0.3496324083
50,0.0,50.0,0.0,50.0,a10,MTBD,tBuXPhos,s15,0.6006619639
51,0.0,51.0,0.0,51.0,a11,MTBD,tBuXPhos,s4,0.027209239710000003
52,0.0,52.0,0.0,52.0,a11,P2Et,tBuXPhos,s13,0.01309393322
53,0.0,53.0,0.0,53.0,a12,MTBD,tBuXPhos,s2,0.365598853
54,0.0,54.0,0.0,54.0,a1,P2Et,tBuXPhos,s3,0.4667923287
