,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a16,P2Et,AdBrettPhos,s9,0.6424887053
1,0.0,1.0,0.0,1.0,a14,P2Et,XPhos,s3,0.4271521565
2,0.0,2.0,0.0,2.0,a20,BTMG,tBuXPhos,s13,0.06684386034
3,0.0,3.0,0.0,3.0,a17,P2Et,tBuXPhos,s4,0.021186600910000002
4,0.0,4.0,0.0,4.0,a18,P2Et,AdBrettPhos,s9,0.4928704587
5,0.0,5.0,0.0,5.0,a13,P2Et,tBuBrettPhos,s7,0.06975926865
6,0.0,6.0,0.0,6.0,a4,MTBD,XPhos,s11,0.5651667394
7,0.0,7.0,0.0,7.0,a8,MTBD,tBuXPhos,s3,0.4403901684
8,0.0,8.0,0.0,8.0,a3,MTBD,AdBrettPhos,s1,0.02510510682
9,0.0,9.0,0.0,9.0,a6,BTMG,tBuBrettPhos,s2,0.04220973073
10,0.0,10.0,0.0,10.0,a3,BTMG,tBuXPhos,s1,0.07837919120999999
11,0.0,11.0,0.0,11.0,a12,MTBD,tBuXPhos,s2,0.365598853
12,0.0,12.0,0.0,12.0,a14,MTBD,tBuBrettPhos,s13,0.06458217991000001
13,0.0,13.0,0.0,13.0,a8,BTMG,XPhos,s8,0.04892554111
14,0.0,14.0,0.0,14.0,a16,P2Et,XPhos,s1,0.06618305452
15,0.0,15.0,0.0,15.0,a8,MTBD,XPhos,s5,0.027859919960000003
16,0.0,16.0,0.0,16.0,a7,P2Et,AdBrettPhos,s6,0.4693920076
17,0.0,17.0,0.0,17.0,a3,BTMG,AdBrettPhos,s15,0.7937053050999999
18,0.0,18.0,0.0,18.0,a14,BTMG,AdBrettPhos,s3,0.3912761896
19,0.0,19.0,0.0,19.0,a20,BTMG,AdBrettPhos,s3,0.3374215602
20,0.0,20.0,0.0,20.0,a13,MTBD,tBuXPhos,s3,0.4268462411
21,0.0,21.0,0.0,21.0,a18,P2Et,XPhos,s8,0.1402250347
22,0.0,22.0,0.0,22.0,a2,BTMG,AdBrettPhos,s12,0.6538933316000001
23,0.0,23.0,0.0,23.0,a7,MTBD,tBuBrettPhos,s10,0.7907949659000001
24,0.0,24.0,0.0,24.0,a20,MTBD,tBuBrettPhos,s9,0.7459845801999999
25,0.0,25.0,0.0,25.0,a20,P2Et,AdBrettPhos,s15,0.4577046106
