,num_sims,round,experiment,horizon,additive_id,base_name,ligand_name,substrate_id,yield
0,0.0,0.0,0.0,0.0,a20,P2Et,XPhos,s6,0.06840870887
1,0.0,1.0,0.0,1.0,a1,P2Et,tBuXPhos,s13,0.6016915393
2,0.0,2.0,0.0,2.0,a3,P2Et,tBuBrettPhos,s14,0.47174417560000004
3,0.0,3.0,0.0,3.0,a10,P2Et,AdBrettPhos,s13,0.07488530825
4,0.0,4.0,0.0,4.0,a9,BTMG,XPhos,s7,0.0286790041
5,0.0,5.0,0.0,5.0,a7,BTMG,tBuXPhos,s13,0.3801577432
6,0.0,6.0,0.0,6.0,a6,BTMG,tBuBrettPhos,s6,0.1530703648
7,0.0,7.0,0.0,7.0,a9,BTMG,AdBrettPhos,s1,0.1219056007
8,0.0,8.0,0.0,8.0,a19,MTBD,XPhos,s6,0.17339877680000002
9,0.0,9.0,0.0,9.0,a18,MTBD,tBuXPhos,s8,0.3955034963
10,0.0,10.0,0.0,10.0,a11,MTBD,tBuBrettPhos,s15,0.3339106531
11,0.0,11.0,0.0,11.0,a6,MTBD,AdBrettPhos,s8,0.10469659240000001
12,0.0,12.0,0.0,12.0,a11,P2Et,tBuXPhos,s2,0.05034974824
13,0.0,13.0,0.0,13.0,a6,P2Et,tBuBrettPhos,s5,0.104212352
14,0.0,14.0,0.0,14.0,a17,MTBD,tBuXPhos,s11,0.7962575679
15,0.0,15.0,0.0,15.0,a16,BTMG,tBuXPhos,s7,0.00638545637
16,0.0,16.0,0.0,16.0,a16,MTBD,tBuXPhos,s3,0.4268363634
17,0.0,17.0,0.0,17.0,a5,MTBD,tBuBrettPhos,s5,0.3546998729
18,0.0,18.0,0.0,18.0,a3,MTBD,tBuXPhos,s7,0.00646778821
19,0.0,19.0,0.0,19.0,a16,MTBD,XPhos,s1,0.05982836529
20,0.0,20.0,0.0,20.0,a16,BTMG,tBuBrettPhos,s11,0.6207451283000001
21,0.0,21.0,0.0,21.0,a20,BTMG,tBuBrettPhos,s11,0.6316520406
22,0.0,22.0,0.0,22.0,a16,BTMG,AdBrettPhos,s8,0.3799056967
23,0.0,23.0,0.0,23.0,a17,MTBD,AdBrettPhos,s7,0.00727174946
24,0.0,24.0,0.0,24.0,a13,BTMG,tBuBrettPhos,s14,0.5560412419
25,0.0,25.0,0.0,25.0,a7,MTBD,tBuBrettPhos,s9,0.7976639273
26,0.0,26.0,0.0,26.0,a20,MTBD,tBuBrettPhos,s2,0.38155655580000003
27,0.0,27.0,0.0,27.0,a1,P2Et,AdBrettPhos,s12,0.7619293385
28,0.0,28.0,0.0,28.0,a15,P2Et,AdBrettPhos,s9,0.6853030279
29,0.0,29.0,0.0,29.0,a13,P2Et,AdBrettPhos,s11,0.7751023369000001
30,0.0,30.0,0.0,30.0,a9,P2Et,AdBrettPhos,s7,0.0
31,0.0,31.0,0.0,31.0,a11,P2Et,XPhos,s9,0.0
32,0.0,32.0,0.0,32.0,a10,P2Et,tBuXPhos,s11,0.3506478929
33,0.0,33.0,0.0,33.0,a10,BTMG,XPhos,s15,0.0366151941
34,0.0,34.0,0.0,34.0,a5,BTMG,tBuBrettPhos,s5,0.19707248709999997
35,0.0,35.0,0.0,35.0,a12,P2Et,tBuBrettPhos,s2,0.3061272696
36,0.0,36.0,0.0,36.0,a12,MTBD,tBuBrettPhos,s14,0.8000019125
37,0.0,37.0,0.0,37.0,a10,MTBD,tBuBrettPhos,s2,0.2908430143
38,0.0,38.0,0.0,38.0,a6,BTMG,AdBrettPhos,s2,0.03160193721
39,0.0,39.0,0.0,39.0,a5,P2Et,AdBrettPhos,s3,0.03446957245
40,0.0,40.0,0.0,40.0,a8,P2Et,tBuXPhos,s9,0.1745236147
41,0.0,41.0,0.0,41.0,a12,MTBD,tBuXPhos,s3,0.4946796695
42,0.0,42.0,0.0,42.0,a15,MTBD,tBuBrettPhos,s1,0.2960669897
43,0.0,43.0,0.0,43.0,a9,BTMG,tBuXPhos,s11,0.6025206697000001
44,0.0,44.0,0.0,44.0,a17,BTMG,tBuXPhos,s14,0.5477135423
45,0.0,45.0,0.0,45.0,a5,BTMG,tBuXPhos,s13,0.1205436323
46,0.0,46.0,0.0,46.0,a12,BTMG,tBuBrettPhos,s14,0.5355291415
47,0.0,47.0,0.0,47.0,a12,MTBD,tBuXPhos,s7,0.1131698923
48,0.0,48.0,0.0,48.0,a9,P2Et,tBuBrettPhos,s2,0.0
49,0.0,49.0,0.0,49.0,a12,BTMG,tBuBrettPhos,s1,0.16100270760000002
50,0.0,50.0,0.0,50.0,a10,MTBD,tBuBrettPhos,s13,0.151222891
51,0.0,51.0,0.0,51.0,a17,MTBD,XPhos,s9,0.2036311527
52,0.0,52.0,0.0,52.0,a9,P2Et,AdBrettPhos,s14,0.0
53,0.0,53.0,0.0,53.0,a10,P2Et,tBuXPhos,s14,0.2137540077
54,0.0,54.0,0.0,54.0,a11,BTMG,tBuBrettPhos,s3,0.03566410027
