round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0,0,0,0.3779999999999999,0.3779999999999999
0,1,1,1,0.0904,0.4683999999999998
0,2,2,2,0.0354,0.5037999999999999
0,3,3,3,0.0352,0.5389999999999999
0,4,4,4,0.108,0.6469999999999999
1,0,5,5,0.086,0.7329999999999999
1,1,6,6,0.1455,0.8784999999999998
1,2,7,7,0.1069,0.9853999999999998
1,3,8,0,0.0097,0.9951
1,4,9,4,0.1691,1.1642
2,0,10,6,0.1521,1.3163
2,1,11,7,0.0382,1.3545
2,2,12,1,0.256,1.6105
2,3,13,5,0.1853,1.7958
2,4,14,2,0.06,1.8558
3,0,15,3,0.0055,1.8613
3,1,16,0,0.0791999999999999,1.9405
3,2,17,1,0.5225,2.463
3,3,18,6,0.4967,2.9597
3,4,19,4,0.74,3.6997
4,0,20,4,0.3722999999999999,4.072
4,1,21,4,0.5366,4.6086
4,2,22,1,0.1673,4.7759
4,3,23,4,0.0134,4.7893
4,4,24,6,0.4738,5.2631
5,0,25,5,0.4685,5.731599999999999
5,1,26,6,0.1957999999999999,5.9274
5,2,27,7,0.0481,5.975499999999999
5,3,28,1,0.1656,6.1411
5,4,29,6,0.3772999999999999,6.5184
6,0,30,5,0.0694,6.5878
6,1,31,5,0.1144,6.7022
6,2,32,2,0.0246,6.7268
6,3,33,4,0.0722,6.799
6,4,34,0,0.0111,6.810099999999999
7,0,35,6,0.1803,6.990399999999999
7,1,36,3,0.0018,6.9922
7,2,37,1,0.0536,7.0458
7,3,38,6,0.522,7.5678
7,4,39,4,0.5015,8.0693
8,0,40,4,0.2289999999999999,8.2983
8,1,41,14,0.0645,8.3628
8,2,42,1,0.1245,8.4873
8,3,43,8,0.2311,8.718399999999999
8,4,44,14,0.1148,8.8332
9,0,45,13,0.346,9.1792
9,1,46,4,0.0542999999999999,9.2335
9,2,47,1,0.0581,9.2916
9,3,48,8,0.4896,9.781199999999998
9,4,49,6,0.0521,9.833299999999998
10,0,50,13,0.3564,10.189699999999998
10,1,51,7,0.1264,10.3161
10,2,52,8,0.0739,10.39
10,3,53,11,0.0373,10.4273
10,4,54,10,0.6081,11.0354
11,0,55,0,0.4821999999999999,11.5176
11,1,56,3,0.0377,11.5553
11,2,57,10,0.5146999999999999,12.07
11,3,58,0,0.2958,12.365799999999998
11,4,59,13,0.3553,12.721099999999998
12,0,60,10,0.7091,13.430199999999996
12,1,61,1,0.039,13.469199999999995
12,2,62,9,0.1092,13.578399999999997
12,3,63,10,0.1155,13.693899999999998
12,4,64,4,0.02,13.713899999999995
13,0,65,5,0.2232999999999999,13.937199999999995
13,1,66,12,0.1816,14.118799999999997
13,2,67,2,0.0135,14.132299999999995
13,3,68,8,0.1161,14.248399999999997
13,4,69,13,0.0542,14.302599999999996
14,0,70,0,0.4537,14.756299999999996
14,1,71,15,0.183,14.939299999999996
14,2,72,10,0.0092,14.948499999999996
14,3,73,7,0.1657,15.114199999999997
14,4,74,0,0.0612,15.175399999999994
15,0,75,14,0.2664999999999999,15.441899999999997
15,1,76,6,0.1022,15.544099999999997
15,2,77,11,0.2576,15.801699999999997
15,3,78,3,0.0096,15.811299999999996
15,4,79,5,0.0116,15.822899999999995
16,0,80,1,0.3169,16.139799999999994
16,1,81,12,0.6309,16.770699999999994
16,2,82,10,0.5638000000000001,17.334499999999995
16,3,83,10,0.4792,17.813699999999994
16,4,84,8,0.1409,17.954599999999992
17,0,85,12,0.5948,18.54939999999999
17,1,86,12,0.1311,18.68049999999999
17,2,87,9,0.0679,18.7484
17,3,88,14,0.2798,19.028199999999995
17,4,89,10,0.0484999999999999,19.076699999999995
18,0,90,7,0.0768,19.1535
18,1,91,13,0.0922,19.245699999999992
18,2,92,15,0.0414,19.28709999999999
18,3,93,11,0.9871,20.2742
18,4,94,11,0.3145,20.588699999999992
19,0,95,11,0.8558,21.44449999999999
19,1,96,11,0.2757,21.72019999999999
19,2,97,11,0.5415,22.26169999999999
19,3,98,11,0.3828,22.64449999999999
19,4,99,0,0.0692,22.71369999999999
20,0,100,11,0.0594,22.77309999999999
20,1,101,12,0.1810999999999999,22.95419999999999
20,2,102,1,0.0421,22.99629999999999
20,3,103,2,0.0721,23.06839999999999
20,4,104,2,0.4054999999999999,23.47389999999999
21,0,105,4,0.5803,24.05419999999999
21,1,106,14,0.5213,24.57549999999999
21,2,107,4,0.4497,25.02519999999999
21,3,108,11,0.1292,25.154399999999992
21,4,109,14,0.0124,25.16679999999999
22,0,110,4,0.4061999999999999,25.57299999999999
22,1,111,4,0.5357999999999999,26.108799999999988
22,2,112,4,0.0158,26.124599999999987
22,3,113,10,0.0464,26.170999999999985
22,4,114,8,0.1348,26.305799999999984
23,0,115,6,0.1757999999999999,26.481599999999982
23,1,116,12,0.5342,27.01579999999998
23,2,117,13,0.3954,27.41119999999998
23,3,118,0,0.3324,27.74359999999998
23,4,119,0,0.4202,28.16379999999998
