round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0,0,0,0.3779999999999999,0.3779999999999999
0,1,1,1,0.0904,0.4683999999999998
0,2,2,2,0.0354,0.5037999999999999
0,3,3,3,0.0352,0.5389999999999999
0,4,4,4,0.108,0.6469999999999999
1,0,5,5,0.086,0.7329999999999999
1,1,6,6,0.1455,0.8784999999999998
1,2,7,7,0.1069,0.9853999999999998
1,3,8,0,0.0097,0.9951
1,4,9,4,0.1691,1.1642
2,0,10,6,0.1521,1.3163
2,1,11,7,0.0382,1.3545
2,2,12,1,0.256,1.6105
2,3,13,5,0.1853,1.7958
2,4,14,2,0.06,1.8558
3,0,15,3,0.0055,1.8613
3,1,16,0,0.0791999999999999,1.9405
3,2,17,1,0.5225,2.463
3,3,18,6,0.4967,2.9597
3,4,19,4,0.74,3.6997
4,0,20,4,0.3722999999999999,4.072
4,1,21,4,0.5366,4.6086
4,2,22,1,0.1673,4.7759
4,3,23,4,0.0134,4.7893
4,4,24,6,0.4738,5.2631
5,0,25,5,0.4685,5.731599999999999
5,1,26,6,0.1957999999999999,5.9274
5,2,27,7,0.0481,5.975499999999999
5,3,28,1,0.1656,6.1411
5,4,29,6,0.3772999999999999,6.5184
6,0,30,5,0.0694,6.5878
6,1,31,5,0.1144,6.7022
6,2,32,2,0.0246,6.7268
6,3,33,4,0.0722,6.799
6,4,34,0,0.0111,6.810099999999999
7,0,35,6,0.1803,6.990399999999999
7,1,36,3,0.0018,6.9921999999999995
7,2,37,1,0.0536,7.0458
7,3,38,6,0.522,7.5678
7,4,39,4,0.5015,8.0693
